basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Рождественский, Роберт			Время. Новые стихи:  Людям,чьих фамилий я не знаю. — Песня. — Вступающим в жизнь. —«Почем фунт лиха?..» — Друг. — Нахожусь ли в дальних краях... — Оличном. — Перед расставанием. — «Я проживу не слишком долгий век...»	Юность	1960	3	2-6
Розов, Виктор			Неравный бой. Комедия в 3 д. Илл:  В.Высоцкий	Юность	1960	3	7-27
			Итак:  что же такое совесть? [К обсуждению в журн.«Юность» вопросов коммунистич. морали. Письма читателей]: М.Шаволина. Нет точной формулировки. — В. Сокольников. Без пятнышка. — В.Лясников. Мерило душевной чистоты. — Л. Шафоростова.Зачетыавансом	Юность	1960	3	102-104
Поляков, А			Пешком к стратосфере. [Заметки обальпинизме]	Юность	1960	3	105-109
Романов, И			Почему надо знать историю шахмат?	Юность	1960	3	109-110
Журахович, С			Нетипичная история. Рассказ. Пер. сукр: А. Г. Островский. Илл:  И. Блиох	Юность	1960	3	30-34
Погодин, Николай			Янтарное ожерелье. Роман. Илл:  П.Пинкисевич	Юность	1960	3	35-66
Копелев, Лев			Победы и поражения Ремарка.  [Отворчестве нем. писателя]	Юность	1960	3	67-70
Борщевский, Л			Знакомьтесь:  университет культуры.[Из опыта ун-та культуры Дзержинского района Москвы]. Илл: Ю.Зальцман	Юность	1960	3	71-75
Морозова, Н			Общее житье. [Очерк о моск.молодежных общежитиях]	Юность	1960	3	76-79
Мержанов, Мартын			Поэма, написанная кистью. [Отворчестве художника М. С. Сарьяна]	Юность	1960	3	80-81
Езерский, С			Пятнадцать дней. [О туристском походеучащихся старших классов по Ленингр. обл.] Записки учителя.Илл: В.Беляков и А. Тертыш	Юность	1960	3	82-87
Мазовер, Я			Край большой энергетики. [О перспективахразвития энергетики Вост. Сибири]. Илл:  С. Федоров	Юность	1960	3	88-92
Кряжевский, А			Заводские будни. [О молодых рабочихЧеляб. кузнечно-прессового завода]. Илл:  В. Красновский	Юность	1960	3	93-95
Рябов, Ф			Юные герои Коммуны. [Из историиПарижской Коммуны]	Юность	1960	3	98-100
Павлинов, Владимир			Ленин. Стихи	Юность	1960	4	5
Сорин, Семен			Верю,   будет...   [Стихи о В. И. Ленине]	Юность	1960	4	6
Лискер, Виктор			Ленин. Собрание сочинений. Стихи	Юность	1960	4	6
			Продолжаем разговор. [К обсуждению в журн. «Юность» вопросов коммунистич. морали. Письма читателей]:  Х. Гаджиев.Доброе дело. — Ф. Мухин. Комсомольский долг	Юность	1960	4	74
Иванова, Л			Жизнь — по-ленински! [К 90-летию со дня рождения В. И. Ленина]	Юность	1960	4	2-4
			Глядя на фотографию... Фотодокументы о В. И. Ленине. Тексты В.Стеклова, С. Коненкова, Е. Стасовой, С. Гиля, В. Ульянова, В. Казина,И. Талкина	Юность	1960	4	7-13
Сокольников, В	Кондратов, Э		Танина звездочка. [О Герое Соц. Труда, свинарке совхоза «Победитель» Т. Перешивко. Омскаяобл. Очерк]	Юность	1960	4	101-103
Кузнецов, В			На дне бездны. [С послесл. Л. Зенкевича «О спускебатискафа на дно Марианской впадины»]	Юность	1960	4	103-106
Васильев, Вик			«Третий ингредиент». [О значении психол.подготовки спортсмена]. Илл:  В. Сафронов	Юность	1960	4	107-110
Юдович, М			Советы мастера. [В помощь юным шахматистам]	Юность	1960	4	110-111
Дмитриев, Олег			Пятый на борту.. — Песня дороги. — Концерт.— «Лежу в траве, забыв усталость...» — «За рекою кобылицы ржанье...» — Весна 1943 года. — Золото. [Стихи]	Юность	1960	4	14-16
Воскресенская, З			Сквозь   ледяную   мглу.    [Рассказ о В. И. Ленине]. Илл:  Ю. Цишевский	Юность	1960	4	17-21
Турков, А			Ленин у вхутемасовцев. [О посещении В. И. Лениным Высш. худож.-техн. мастерских. 1921 г. По воспоминаниям бывшихвхутемасовцев]	Юность	1960	4	22-26
Стеклов, В			Лучший друг детворы. [О В. И. Ленине]. Отрывки из воспоминаний	Юность	1960	4	27-29
Амлинский, Владимир			Аптекарша. Рассказ. Илл:  В. Красновский	Юность	1960	4	30-37
Степанов, Анатолий			«Сибиряк». Рассказ. Илл:  В. Мейвелев	Юность	1960	4	38-50
Холендро, Дмитрий			Где-то есть сын. Рассказ. Илл:  Е. Расторгуев	Юность	1960	4	51-56
Старшинов, Николай			Мои новые ботинки. Рассказ. Илл: П.Пинкисевич	Юность	1960	4	57-61
Колпаков, А			Голубая Цефеида.  Науч.-фантастич.  рассказ. Илл:  В. Грибко	Юность	1960	4	62-73
Дубнова, Е			«Самая дорогая квалификация...» [Тема воспитаниямолодежи в произведениях советских писателей]. (Заметкиучительницы)	Юность	1960	4	75-81
Белов, Вл			Подъездные пути. [О молодых строителях г.Междуреченска. Кемеров. обл.] (Вместо репортажа). Илл:  А. Гурьев	Юность	1960	4	82-88
Дидусенко, А			История одного клуба. [Об агроклубе молодежи Октемберян. района Арм. ССР]	Юность	1960	4	89-93
Шварц, Анатолий			Железное здоровье. [О замене больных органовискусственными]. Илл:  Г. Всеволодов	Юность	1960	4	94-98
Смирнова, В			Там, где жили и работали Маркс, Энгельс, Ленин. [По ист. местам Англии]	Юность	1960	4	99-101
Кирсанов, Семен			Весеннее везение. Стихи	Юность	1960	5	2
Павлинов, В			Облака. — Вода. — Смерчи. — Лебяжийпереулок. [Стихи]	Юность	1960	5	66
Дегутите, Янина			Научи меня, жизнь! — Неман. —Рабочие руки. [Стихи]. Пер. с литов:  С. Мар	Юность	1960	5	67
Толстогузов, Геннадий			Рабочая совесть.   [Кобсуждению в журн. «Юность» вопросов коммунистич.морали]	Юность	1960	5	93
Грибачев, Николай			Пусть поют соловьи. [Омиролюбивой внешней политике Советского правительства.Заметки писателя]	Юность	1960	5	3-4
Кулешов, Александр			Вокруг Скво Вэлли.  [О VIIIЗимних олимпийских играх]	Юность	1960	5	101-104
Вит, А			Перед дальней дорогой. [К открытиюфутбольного сезона 1960 г.] Илл:  И. Оффенгенден	Юность	1960	5	104-106
Шатров, С			Морская роба. [Сатирич. рассказ. Под ред.Л. Ленча]. Илл:  Ю. Ганф	Юность	1960	5	107-109
Алексин, Анатолий			Рассказы:  1. Три мушкетера водном купе. — 2. «Бабочка». Илл:  В. Красновский; Г. Вальк	Юность	1960	5	49-63
Московкин, Виктор			Шарик лает   на Луну. Повесть.  Илл: Г. Калиновский	Юность	1960	5	5-48
Каменский, А			В мечтах о радости земной... [Отворчестве художника Б. М. Кустодиева]	Юность	1960	5	64-65
Приставкин, Анатолий			Ангарская любовь. Маленькиерассказы:  Маленькая телефонистка. — Физкультурница. —Машенька. — Ангарская любовь. Илл:  Г. Калиновский	Юность	1960	5	68-71
Ахмадулина, Б			Город науки под Новосибирском. —«Мне невтерпеж, мне невтерпеж от влажности, отполнолуния...» —Лодка.  — «Жилось мне весело и шибко...» — «Я думала, что ты мойвраг...» [Стихи]	Юность	1960	5	72-73
