aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Ратнер, Евгений.			Степь широкая. Повесть о встречах и событиях на целине	Знамя	1963	6	112-14
Ниязи, Фатех.			Формула Ленина. [Об осуществлении Ленинского плана электрификации вТаджик. ССР. Очерк]. Авториз. пер. с таджик	Знамя	1963	6	144-159
Львов, Сергей.			Ничего не выдумано... [О моральном облике советского человека. Путевыезаметки]	Знамя	1963	6	160-174
Сучков, Б.			Современность и реализм. [Заключит. часть работы «Исторические судьбыреализма»]	Знамя	1963	6	175-18
Дымшиц, Ал.			Модернизм — враг творчества. [Заметки лит. критика]	Знамя	1963	6	189-203
Золотусский, Игорь.			На дальнем берегу. [Заметки о произведениях дальневост. писателей]	Знамя	1963	6	204-217
Тихонов, Николай.			Страницы воспоминаний. Люди больших высот. [О литературоведе М.И. Аронсоне]	Знамя	1963	6	70-97
Цыбин, Владимир.			Попутный ветер. Стихи: «Ягоды, ягоды...» — «Здесь — ни лжи, ниошибки...» — «Ты во мне как будто памятник...»	Знамя	1963	6	98-99
Шкляревский, Игорь.			Ленин в Шушенском. Стихи	Знамя	1963	7	89
Безыменский, А.			Единство. [Стихи]	Знамя	1963	7	98
Трифонов, Юрий.			Утоление жажды. Роман	Знамя	1963	7	3-8
Рождественский, Роберт.			Кочевники. [Стихи]: В буддийском монастыре. — Кочевники. —Кино в Улан-Баторе	Знамя	1963	7	108-111
Ратнер, Евгений.			Степь широкая. Повесть о встречах и событиях на целине	Знамя	1963	7	152-15
Котельникова, Ксения.			Главная черта. [О коллективе Моск. электролампового завода.Очерк]	Знамя	1963	7	157-168
Фиш, Геннадий.			Делегат Второго съезда. [К биографии А. В. Шотмана]	Знамя	1963	7	169-188
Мичелфелдер, Уильям.			Дешевле — умереть. [О мед. обслуживании в США. Сокр. главы изодноим. книги америк. журналиста]. Пер. с англ	Знамя	1963	7	189-19
Перцов, В.			Лирик-трибун. [К. творческой истории поэмы В. В. Маяковского «Во весьголос»]	Знамя	1963	7	200-211
Щербина, Вл.			Бесчеловечность модернизма	Знамя	1963	7	212-22
Шухмин, Эд.			Записка. Рассказ [о В. И. Ленине]	Знамя	1963	7	90-97
Приходько, Владимир.			Сказка былью стала. [Стихи]	Знамя	1963	8	11
Поликарпов, Сергей.			Взлет. [Стихи]	Знамя	1963	8	12
			Вместе с партией, вместе с народом. [Задачи советских писателей в свете решенийиюньского Пленума ЦК КПСС по идеол. вопросам]	Знамя	1963	8	3-10
Шевелева, Е.			В сиянье звездном. [Стихи]	Знамя	1963	8	11-12
Бородулин, Григорий.			Ода сапогам. — Вымытые полы. — Взахлеб. — «Сколько хлопцу изУшач...» [Стихи]. Пер. с белорус.: Г. Куренев	Знамя	1963	8	108-11
Буравкин, Геннадий.			Дорога возле ТЭЦ. — Рабочий поселок. [Стихи]. Пер. с белорус.: Г.Куренев	Знамя	1963	8	110-111
Грибачев, Николай.			Последний дом. Рассказ	Знамя	1963	8	112-117
Халваши, Фридон.			Стихи об Америке: Бродвей. — Атлантика. Пер. с груз.: В. Лифшиц	Знамя	1963	8	118-119
Моравиа, Альберто.			В своей семье. [Новелла]. Пер. с итал.: С. Бушуева	Знамя	1963	8	120-123
Аксенов, Игорь.			Сердцевина. [О формах идеол. работы на Моск. электромашиностроит.заводе «Динамо» им. Кирова. Очерк]	Знамя	1963	8	124-132
Симонов, Константин.			Солдатами не рождаются. Роман	Знамя	1963	8	13-6
Жуков, Юрий.			В преддверии ХХI века. [Об экон. соревновании двух систем]	Знамя	1963	8	133-155
Кербабаев, Берды.			Не перестаю удивляться. [О достижениях нар. хозяйства Туркм.ССР]. Авториз. пер. с туркм	Знамя	1963	8	156-163
			День приезда, день отъезда — один день. [По Италии и Франции. Путевые очерки]:А. Кривицкий. В «полосе отчуждения». — С. Васильев. Венский вальс. — Я. Хелемский.Сто первая Венеция	Знамя	1963	8	164-19
Мичелфелдер, Уильям.			Дешевле — умереть. [О мед. обслуживании в США. Сокр. главы изодноим. книги америк. журналиста]. Пер. с англ	Знамя	1963	8	193-19
Щербина, Вл.			Бесчеловечность модернизма	Знамя	1963	8	198-20
Щипачев, Степан.			Восемь стихотворений: Валентина. — Ночной самолет. — Она со мной.— Девочка идет со станции. — Женский силуэт. — Опять о луне. — «Не оттого ли онахорошеет...» — В ту новогоднюю ночь	Знамя	1963	8	70-73
Тихонов, Николай.			Страницы воспоминаний. [О писателе В. Ричиотти]	Знамя	1963	8	74-107
Симонов, Константин.			Солдатами не рождаются. Роман	Знамя	1963	9	3-7
Брумель, Валерий.			Покорение высоты. [Рассказ чемпиона мира по прыжкам в высоту. Лит.запись А. Потемкиной. С послесл. ред.]	Знамя	1963	9	130-150
			День приезда, день отъезда — один день. [По Италии и Франции. Путевые очерки]: Л.Ленч. Ох, уж эта Болонья! — М. Ганина. Лино улыбается. — С. Бабаевский. Песни, спетыехором. — В. Герасимова. Маленькие знамена. — В. Сытин. Трехэтажный Рим. — Ю.Корольков. Римские раздумья. — Р. Бершадский. Перед «Моисеем» Микельанджело. — С.Машинский. По следам великих земляков	Знамя	1963	9	151-17
Новиков, В.			Героическому времени — героическое искусство. [Заметки лит. критика]	Знамя	1963	9	178-18
Макаров, А.			Право на вдохновение. [Заметки о творчестве поэта С. Поделкова]	Знамя	1963	9	188-199
Рыленков, Николай.			Миниатюры. [Цикл стихов]	Знамя	1963	9	72-74
Тихонов, Николай.			Страницы воспоминаний. Пламя Осетии. [Об осет. писательнице Е.Уруймаговой]	Знамя	1963	9	75-93
Куренев, Григорий.			Письма с дороги. Стихи: Конец горы. — Пейзаж. — «Как меняуличают!..» — «Когда не приходит почта»	Знамя	1963	9	94-96
Снегова, Ирина.			Из стихов об Армении: «Он на колени встал...» — «Я люблю художниковАрмении...» — «Не раз менялось все с тех пор...»	Знамя	1963	9	97-98
Полевой, Борис.			Саянские записи. [О коллективе строителей Енисейской ГЭС]. Издневников 1963 г	Знамя	1963	9	99-12
Тодоров, Ангел.			Золото. [Стихи. Пер. с болгар.: Б. Рахманин]	Знамя	1963	10	88
Панков, Никола.			«Вот родина моя, взгляните!..» [Стихи. Пер. с болгар.: Б. Рахманин]	Знамя	1963	10	89
Радевский, Христо.			Вечер. [Стихи. Пер. с болгар. Б. Рахманин]	Знамя	1963	10	89
Орлинов, Орлин.			Червяк. [Стихи. Пер. с болгар.: Г. Куренев]	Знамя	1963	10	90
Симонов, Константин.			Солдатами не рождаются. Роман	Знамя	1963	10	3-6
Поппе, К. Х.			Издольщики. [Рассказ западногерм. писателя]. Пер. с нем.: И. Млечина	Знамя	1963	10	102-110
Полевой, Борис.			Саянские записи. [О коллективе строителей Енисейской ГЭС]. Издневников 1963 г	Знамя	1963	10	111-13
			День приезда, день отъезда — один день. [По Италии и Франции. Путевые очерки]: П.Сажин. Мерси, мсье Пари. — Т. Семушкин. Рядом с бульваром Вольтера. — В.Ковалевский. На улицах Парижа. — Г. Лезгинцев. Чтиво и чрево Парижа. — Б. Бялик.Непроизнесенный тост	Знамя	1963	10	135-16
Орлов, Владимир.			Сто вариаций на тему старой сказки: Тема. — Вариации. О тенях.— О солнечных зайчиках	Знамя	1963	10	162-18
Новиков, В.			Героическому времени — героическое искусство. [Заметки лит. критика]	Знамя	1963	10	187-196
Шаталин, М.			Живая история. (Из истории советской литературы)	Знамя	1963	10	197-207
Денисова, И.			Любимый и главный герой. [О творчестве В. А. Кочетова]	Знамя	1963	10	208-212
Межелайтис, Э.			Человек и искусство. Стихи: Горсть. — Мраморный поцелуй. —Итальянская фреска. — Белый гимн Микеланджело. — Дева Она. Пер. с литов.: Л.Мартынов	Знамя	1963	10	65-72
Тихонов, Николай.			Страницы воспоминаний. Атаакынов. [О Джамбуле]	Знамя	1963	10	73-87
Методиев, Димитр.			Рожь. [Стихи. Пер. с болгар.: Б. Рахманин]	Знамя	1963	10	90-91
Эйнис, Игорь.			Второй и первый. Рассказ	Знамя	1963	10	92-101
Симонов, Константин.			Солдатами не рождаются. Роман. Кн. 1	Знамя	1963	11	3-4
Зверев, Илья.			Горький привкус. Пять маленьких рассказов: Пятнадцать суток. — Чудныйпродавец клубники. — Мужской мастер Леля. — Рассказ бывшего щенка. — Гоп, meineгречаныки!	Знамя	1963	11	115-128
Гребнев, А.			Быстрица впадает в Биказское море. [По Румынии. Путевые заметки]	Знамя	1963	11	129-146
			День приезда, день отъезда — один день. [По Италии и Франции. Путевые очерки]: А.Кривицкий. В «полосе отчуждения». — С. Васильев. Венский вальс. — Я. Хелемский. Стопервая Венеция. — Л. Ленч. Ох, уж эта Болонья. — М. Танина. Лино улыбается. — С.Бабаевский. Песни, спетые хором. — В. Герасимова. Маленькие знамена. — В. Сытин.Трехэтажный Рим. — Ю. Корольков. Римские раздумья. — Р. Бершадский. Перед«Моисеем» Микельанджело. — С. Машинский. По следам великих земляков. — П.Сажин. Мерси, мсье Пари. — Т. Семушкин. Рядом с бульваром Вольтера. — В.Ковалевский. Па улицах Парижа. — Г. Лезгинцев. Чтиво и чрево Парижа. — Б. Бялик.Непроизнесенный тост. — А. Воинов. Прогулка с Лидией. — К. Симонов. День в«Глобусе». — И. Нович. Жизнь на стороне революции	Знамя	1963	11	147-16
Орлов, Владимир.			Сто вариаций на тему старой сказки: О дыме. — Об искрах	Знамя	1963	11	166-19
Анисимов, И.			Философия творчества. [О вопросах творческого метода и писательскойиндивидуальности]	Знамя	1963	11	193-202
Михайлова, Л.			Общение с умным героем. [3аметки лит. критика]	Знамя	1963	11	203-216
Березкин, Гр.			Вровень с временем. [О творчестве П. Бровки]	Знамя	1963	11	217-221
Вознесенский, Андрей.			Почта со стихами: Лонжюмо. Поэма. — Вечерние окна. —Флорентийская песня. — Париж без рифм. — Возвращение в Сигулду. — Лирическаярелигия. — Сирень. — Марше Опюс. — Монолог Мэрлин Монро. — Старухи казино. —Муромский сруб	Знамя	1963	11	45-69
Леонов, Леонид.			Evgenia Ivanovna. Повесть	Знамя	1963	11	70-114
Каплинская, Елена.			Мой папа останавливает поезд. Рассказ	Знамя	1963	I	99-107
Татьяничева, Людмила.			Новые стихи: Аэродром. — Большие ветры. — Свет зеленый. —Васильки. — «Мы учились у сосен крутой прямизне...» — Ночные поезда	Знамя	1966	11	109—111
Тихонов, Николай.			Два рассказа: В беззаботном городе. — Сеяджи	Знамя	1966	11	112—137
Мочалов, Лев.			Это время. Стихи: «Пятиконечный, аврорный...» — «Это время...» — «Ведьчто-то случается с нами...»	Знамя	1966	11	138—140
Жуков, Юрий.			У ворот Москвы. Записки воен. корреспондента. [К 25-летию разгроманем.-фашистских войск под Москвой]	Знамя	1966	11	141—163
Данин, Д.			История одного великого открытия. [К биогр. англ. физика Э. Резерфорда.1871—1937]	Знамя	1966	11	164—192
Хелемский, Яков.			Вечный подданный поэзии. Уроки М. Светлова. [Воспоминания]	Знамя	1966	11	193—212
Гус, М.			От подполья к звездным мирам. [Идеол. эволюция глав. героя произведений Ф. М.Достоевского «Записки из подполья» и «Сон смешного человека»]	Знамя	1966	11	230—243
Адамян, Нора.			Вторая жена. Роман	Знамя	1966	11	3—39
Грибачев, Николай.			И ветер с четырех сторон... Стихи: «Я в двадцать два в любую пору...»— В грозу и после	Знамя	1966	11	40—42
Кленов, Андрей.			Поиски любви. Роман	Знамя	1966	11	43—108
Бабаджан, Рамз.			«Мой дом теперь мне кажется чужим...» Стихи. Пер. с узб.: В. Дробышев	Знамя	1966	12	6
Хамид, Ташпулат.			Мост. Стихи. Пер. с узб.: А. Штейнберг	Знамя	1966	12	11
Жданов, Игорь.			Имена на камне. Стихи	Знамя	1966	12	84
Абдураззаков, Азиз.			Размышления в доме-музее Мукими. — Вяз. [Стихи]. Пер. с узб.: А.Передреев	Знамя	1966	12	3-5
Маламуд, Бернард.			Ключ. [Рассказ америк. писателя из сборника «Волшебный бочонок»].Пер. с англ.: А. Гаврилов	Знамя	1966	12	118—133
Шарипов, Хуснитдин.			Белый ветер. Стихи. Пер. с узб.: А. Передреев	Знамя	1966	12	12—13
Бикмухаметов, Роберт.			На полынных ветрах. [Значение строительства Сев. Крымскогоканала для развития сел. хоз-ва Крымской обл. Очерк]	Знамя	1966	12	134—151
Адамян, Нора.			Вторая жена. Роман	Знамя	1966	12	14—83
Жуков, Юрий.			У ворот Москвы. Записки воен. корреспондента. К 25-летию разгроманем.-фашистских войск под Москвой	Знамя	1966	12	152—178
Данин, Д.			История одного великого открытия. [К биогр. англ. физика Э. Резерфорда.1871—1937]	Знамя	1966	12	179—201
Хелемский, Яков.			Вечный подданный поэзии. Уроки М. Светлова. [Воспоминания]	Знамя	1966	12	204—223
			«Мой труд вливается в труд моей республики!..» [К IV съезду писателей СССР. Ред.статья]	Знамя	1966	12	224—228
Книпович, Е.			Путь вперед. (Заметки о соврем. литов. прозе)	Знамя	1966	12	229—240
Джаббаров, Джуманияз.			Природа и люди. Стихи. Пер. с узб.: А. Штейнберг	Знамя	1966	12	6—7
Зуннунова, Сайда.			Дождь и снег. Стихи. Пер. с узб.: А. Передреев	Знамя	1966	12	7—9
Ямпольский, Борис.			Карусель. Повесть	Знамя	1966	12	85—117
Мухтар, Аскад.			«Мои беспокойные сновидения...» — «Перед рассветом — тишина...»[Стихи]. Пер. с узб.: А. Передреев	Знамя	1966	12	9—11
Михайлова, А.			Символ, аллегория, притча. (На путях худож. познания мира). [Значениеусловных форм в литературе и искусстве]	Знамя	1966	14	213—229
Упеник, Микола.			Время. Стихи. Пер. с укр.: Б. Рахманин	Знамя	1967	1	7
Муратов, Игорь.			Героическая элегия. Стихи. Пер. с укр.: А. Черевченко	Знамя	1967	1	8
Забашта, Любовь.			Дерево моей надежды. Стихи. Пер. с укр.: В. Корчагин	Знамя	1967	1	10
Драч, Иван.			Калиновая баллада. Стихи. Пер. с укр.: А. Филатов	Знамя	1967	1	11
Винграновский, Микола.			Прелюды. Стихи. Пер. с укр.: Н. Котенко	Знамя	1967	1	13
Мовчан, Павло.			Тишина. Стихи. Пер. с укр.: Ю. Линник	Знамя	1967	1	14
Коротич, Виталий.			Бессмертие (в госпитале инвалидов войны). — Август. [Стихи]. Пер. сукр.: Н. Горбаневская	Знамя	1967	1	11—13
Грибачев, Николай.			Зима, лесник и негры. Стихи	Знамя	1967	1	135—137
Шкляревский, Игорь.			Не в праздной суете. Стихи: «Не в праздной суете — в рабочейсуматохе...» — «Живу я в поселке рыбачьем...» — «Стоим напротив Кунашира...» — «Нежуравля усталый крик...» — «Деревья — конкретно березы...» — «Как этот миг последнийосознать...» — «Иду по нашей старой улочке...» — «Мечтатели, бродяги, оглянитесь...»	Знамя	1967	1	138—141
Путрамент, Ежи.			Пустые глаза. [Рассказ]. Пер. с польск.: Ю. Мирская	Знамя	1967	1	142—155
Абу-Бакар, Ахмедхан.			Ожерелье для моей Серминаз. Повесть. Авториз. пер. с даргин.: Н.Асанов	Знамя	1967	1	15—81
Лам Куанг Нгок.			Тхао. [Рассказ]. Пер. с вьет.: И. Мальханова	Знамя	1967	1	156—157
Кербабаев, Берды.			Мои друзья: Аннабаевы. [О соц. преобразованиях в Туркм. ССР.Очерк]	Знамя	1967	1	158—168
Габуева, Ирина.			Большой поиск. [О работе над 2-м изд. Сочинений К. Маркса и Ф.Энгельса]	Знамя	1967	1	169—187
Карпович, Б.			Эскизы к портретам. Америк. генералы и агрессия во Вьетнаме	Знамя	1967	1	188—216
Михеева, А.			Авангард или арьергард? [Критич. заметки о творчестве франц. драматурга Э.Ионеско]. Статья 1. «Зловещие фарсы «театра абсурда»	Знамя	1967	1	217—229
Михайлов, Ал.			Пророчество марьевской Музы. [О поэзии В. Федорова]	Знамя	1967	1	230—238
Войтинская, О.			Проза Василия Белова	Знамя	1967	1	239—244
Тычина, Павел.			На майдане. — Предвесеннее. [Стихи]. Пер. с укр.: Л. Озеров	Знамя	1967	1	3—4
Рыльский, Максим.			Народу-сеятелю. — Слава песням. [Стихи. Пер. с укр.: Б. Рахманин;А. Флешин]	Знамя	1967	1	4—6
Малышко, Андрей.			«Лег помирать старик у оконца...» Стихи. Пер. с укр.: В. Корчагин	Знамя	1967	1	6—7
Щипачев, Степан.			Шар земной. Стихи: «Шар земной...» — «Дом неспроста загорается...»— «Заявится смерть...» — «Волну за волной громоздит океан...» — К астрономам	Знамя	1967	1	82—84
Кулиев, Кайсын.			Восходит солнце. Стихи: «Что жизнь без неба...» — «А утро вновьскользит по серым склонам...» — Говорю горе. — Говорю дереву в мае. — «Заходитсолнце за гору...» — «Я запомнил это время...» — Песенка. — Два ветра. — Говорю содинокой чинарой. — «На мир смотрите добрыми глазами...» — «Как люблю я беспечносмотреть на тебя...» — «Радость — веточка зеленая...» Пер. с балкар.: Н. Гребнев	Знамя	1967	1	85—90
Петренко, Николай.			Прощанье. — На пепелище. [Стихи]. Пер. с укр.: С. Куняев	Знамя	1967	1	9—10
Конецкий, Виктор.			Кто смотрит на облака. Рассказы: Петр Басаргин. (Год 1943). — ПавелБасаргин. (Год 1950). — Женька. (Год 1960-й)	Знамя	1967	1	91—134
Чиковани, Симон.			В Сигнахи, на горе. Стихи. Пер. с груз.: В. Ахмадулина	Знамя	1967	2	5
Чиладзе, Тамаз.			Зимний день. Стихи. Пер. с груз.: Б. Ахмадулина	Знамя	1967	2	13
Мампория, Отар.			Паоло Яшвили. Стихи. Пер. с груз.: Л. Озеров	Знамя	1967	2	14
Гагуа, Хута.			Утро. Стихи. Пер. с груз.: Ю. Мориц	Знамя	1967	2	16
Квливидзе, Михаил.			Тамада. Стихи. Пер. с груз.: И. Кашежева	Знамя	1967	2	17
Амашукели, Реваз.			Неизвестным солдатам, погибшим в джунглях Вьетнама. Стихи. Пер. сгруз.: И. Шкляревский	Знамя	1967	2	18
Жданов, Игорь.			«Мой поезд отходит...» Стихи	Знамя	1967	2	64
Корин, Григорий.			Вступление в партию. 1945 год, март. — На выставке детских рисунков.[Стихи]	Знамя	1967	2	65
Чиладзе, Отар.			Снег. Стихи. Пер. с груз.: Б. Ахмадулина	Знамя	1967	2	10—11
Нишнианидзе, Шота.			«Меж двух костылей висит человек...» — Глобус. [Стихи. Пер. сгруз.: А. Глезер; С. Куняев]	Знамя	1967	2	11—12
Ванган, Л.			Нелюдимый. [Рассказ. На рус. яз. печатается впервые]. Пер. с монгол.: И.Куприянов	Знамя	1967	2	115—120
Травинский, В.			Красный флаг над Кушкой. [О героической обороне крепости в 1918 г.]	Знамя	1967	2	121—135
Лебанидзе, Мурман.			Ладо. Стихи. Пер. с груз.: В. Корнилов	Знамя	1967	2	15—16
Рахманин, Борис.			Пермская пятидневка. [О переходе пром. предприятий Перми напятидневную рабочую неделю. Очерк.]	Знамя	1967	2	163—189
Стуруа, Лиа.			Охота. — Морская раковина. [Стихи]. Пер. с груз.: А. Глезер	Знамя	1967	2	18—20
			Показания убийцы. [Сокр. запись разговора кинодокументалистов ГДР В. Хайновского иГ. Шоймана с главарем «Команды-52» в Конго З. Мюллером. Пер. с нем. С предисл. ипримеч. ред.]	Знамя	1967	2	1901—2018
Абу-Бакар, Ахмедхан.			Ожерелье для моей Серминаз. Повесть. Авториз. пер. с даргин.: Н.Асанов	Знамя	1967	2	21—60
Дбу-Бакар, Ахмедхан.			Ожерелье для моей Серминаз. Повесть. Авториз. пер. с даргин.: Н.Асанов	Знамя	1967	2	21—60
Гринберг, И.			Обновляющееся мастерство [советской литературы]	Знамя	1967	2	211—233
Михеева, А.			Авангард или арьергард? [Критич. заметки о творчестве франц. драматурга Э.Ионеско]. Статья 2	Знамя	1967	2	234—247
Табидзе, Галактион.			Поэзия — прежде всего. — «Лишь бы жить...» — Натэла изЦинандали. [Стихи]. Пер. с груз.: Б. Ахмадулина	Знамя	1967	2	3—5
Леонидзе, Георгий.			Ночь в Пшави. — Тбилиси. [Стихи]. Пер. с груз.: Л. Озеров	Знамя	1967	2	6—7
Ваншенкин, Константин.			«Важно быть участником событий...» — Вступление. [Стихи]	Знамя	1967	2	61—64
Горчаков, Овидий.			Дядя Коля. Рассказ	Знамя	1967	2	66—80
Абашидзе, Ираклий.			Из цикла «Приближение». Стихи: Ночь в небе. — «Кто меняупрекнет...» Пер. с груз.: А. Глезер	Знамя	1967	2	7—8
Берулава, Хута.			Отчизна, помни их. Стихи. Пер. с груз.: А. Глезер	Знамя	1967	2	9—10
Рыленков, Николай.			Дорога уходит за околицу. Повесть. Из цикла автобиогр. повестей	Знамя	1967	2	96—114
Рза, Расул.			«Иногда глазам моим голодно...» — «Где почивает ветер, ты не знаешь?..»[Стихи]. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	5
Рагим, Мамед.			Нефтяникам Каспия. — Моя надежда. [Стихи]. Пер. с азербайдж.: Г.Корин	Знамя	1967	3	6
Хазри, Наби.			Моя детская рубашка. Стихи. Пер. с азербайдж.: Г. Корин	Знамя	1967	3	7
Кэбирли, Ибрагим.			Ищем у земли защиты. Стихи. Пер. с азербайдж.: И. Волобуева	Знамя	1967	3	8
Годжа, Фикрет.			Я — азербайджанец. Стихи. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	10
Салохзаде, Алекпер.			Сказка о скобках. Стихи. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	11
Садых, Фикрет.			Снег. Стихи. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	12
Вагабзаде, Бахтияр.			Земля — небо. Стихи. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	16
Рыленков, Николай.			Дорога уходит за околицу. Повесть. [Из цикла автобиогр. повестей]	Знамя	1967	3	113—147
Исмаилзаде, Иса.			«Изучаю тебя, как алгебру...» Стихи. Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	12—13
Векилов, Вагиф.			«Номера телефонов...» — Урок географии. — «Там вдалеке...» [Стихи].Пер. с азербайдж.: А. Ахундова	Знамя	1967	3	13—15
Мазурук, Ирина.			Кижи. Рассказ	Знамя	1967	3	148—167
Шамсон, Андре.			Это нехороший адрес. [Рассказ из книги «Маленькая Одиссея»]. Пер. сфранц.: В. Толли	Знамя	1967	3	168—171
Приставкин, А.			Голубка. Роман о любви. Кн. 1	Знамя	1967	3	17—68
			Испания в сердце. Воспоминания 18-ти советских женщин. [1936—1939 гг.]: Е.Тарабанова. Карта Испании. — Н. Чегодаева. Страна друзей. — М. Зайцева. Дорогивойны. — М. Фортус. Не только переводчики. — Е. Огиевская. На всю жизнь... — С.Брейдбард. События, люди, чувства. — А. Петрова-Чусова. Барселона. — Л. Мамсурова.Мадрид продолжает борьбу. — С. Александровская. Небо войны. — В. Александровская.Несколько слов. — И. Лейтнер. Только один эпизод. — Е. Паршина. В войсковой разведке.— М. Левина. Год в Испании. — А. Старинова. Из старого блокнота. — Е. Вольф.Подводная лодка «С-6». — И. Тоффе. Испания — наша молодость. — Л. Самсонова.«Победы и поражения. — Д. Кравченко. Трудные дни. Исход. [С предисл. Д. Ибаррури «Слюбовью и благодарностью» и послесл. К. Симонова]	Знамя	1967	3	172—227
Жуков, Юрий.			Мужественный театр Петера Вейса. [Гражд. направленность пьес нем.писателя-эмигранта]	Знамя	1967	3	236—244
Рустам, Сулейман.			Мои годы. — Гек-гель. [Стихи]. Пер. с азербайдж.: Г. Корин	Знамя	1967	3	3—4
Кирсанов, Семен.			Зеркала. Повесть в 2 планах	Знамя	1967	3	69—79
Мамедов, Фаик.			Облака. Стихи. Пер. с азербайдж.: С. Соложенкина	Знамя	1967	3	8—9
Новруз, Джабир.			Нагасаки... Хиросима... Тихий океан... Стихи. Пер. с азербайдж.: Г.Корин	Знамя	1967	3	9—10
Панченко, Пимен.			Апельсины. Стихи. Пер. с белорус.: Н. Кислик	Знамя	1967	4	8
Бичель, Данута.			«Легкие снежинки в тишине...» Стихи. Пер. с белорус.: Н. Горбаневская	Знамя	1967	4	12
Рудковский, Михаил.			Мой дед. Стихи. Пер. с белорус.: А. Корчагин	Знамя	1967	4	13
Гаврусев, Степан.			«Я видел чудо-города...» — «Когда б луна не глянула в окно...» [Стихи].Пер. с белорус.: В. Тарас	Знамя	1967	4	14
Велюгин, Анатолий.			«Когда-то был десантником...» Стихи. Пер. с белорус.: А. Передреев	Знамя	1967	4	15
Дергай, Сергей.			Оккупация. Стихи. Пер. с белорус.: Н. Кислик	Знамя	1967	4	11—12
Евтимов, Евтим.			И день грядущий твой. Стихи: Свадьба Антона. — Липы вдоль перрона.— Вишня. — Любовь за любовь. — Синяя песня. [Пер. с болг.: В. Корнилов; Г. Семенов]	Знамя	1967	4	127—131
Шкловский, Виктор.			Пять. Рассказ	Знамя	1967	4	132—136
Хантер, Ивен.			S.P.Q.R. [Рассказ америк. писателя из сборника «С Новым годом, Герби»,изд. в США в 1965 г.] Пер. с англ.: Л. Завьялова	Знамя	1967	4	137—145
Галин, Борис.			В грозу и бурю. [О роли В. И. Ленина в разработке плана ГОЭЛРО]	Знамя	1967	4	146—184
Стельмах, Михайло.			Щедрый вечер. Повесть. Авториз. пер. с укр.: И. Чеховская	Знамя	1967	4	16—67
Обухова, Лидия.			Дальше на север... [О прошлом и настоящем Севера Европ. части РСФСР.Очерк]	Знамя	1967	4	185—211
Бялик, Б. В.			И. Ленин и М. Горький	Знамя	1967	4	212—231
Озеров, В.			Строительство на земле, строительство в душах. [О советской литературепериода первых пятилеток]	Знамя	1967	4	232—242
Танк, Максим.			В Шушенском. — После войны. [Стихи]. Пер. с белорус.: Г. Куренев	Знамя	1967	4	3—4
Кулешов, Аркадий.			Полынь. Стихи. Пер. с белорус.: А. Передреев	Знамя	1967	4	4—5
Бровка, Петрусь.			«Кому Памир...» Стихи. Пер. с белорус.: И. Шкляревский	Знамя	1967	4	5—6
Буравкин, Геннадий.			«Владимир Ильич!..» — Танцы у военкомата. [Стихи]. Пер. сбелорус.: Н. Злотников	Знамя	1967	4	6—7
Приставкин, А.			Голубка. Роман о любви	Знамя	1967	4	68—126
Пысин, Алексей.			Иван-чай. Стихи. Пер. с белорус.: Н. Кислик	Знамя	1967	4	8—9
Бородулин, Рыгор.			Год. Стихи. Пер. с белорус.: И. Шкляревский	Знамя	1967	4	9—10
Дариенко, Петря.			Родина. Стихи. Пер. с молдав.: А. Нейман	Знамя	1967	5	3
Истру, Богдан.			Дорога в Разлив. Стихи. Пер. с молдав.: Б. Рахманин	Знамя	1967	5	4
Буков, Емилиан.			Великая граница. Стихи. Пер. с молдав.: А. Нейман	Знамя	1967	5	5
Лупан, Андрей.			Встречи. Стихи. Пер. с молдав.: Л. Беринский	Знамя	1967	5	6
Виеру, Григоре.			Война. Стихи. Пер. с молдав.: К. Ковальджи	Знамя	1967	5	7
Чиботару, Архип.			Голоса с войны. Стихи. Пер. с молдав.: А. Нейман	Знамя	1967	5	7
Балцан, Иосиф.			«Я воспоминаньями томим...» Стихи. Пер. с молдав.: Т. Макарова	Знамя	1967	5	8
Матковский, Думитру.			Человек. Стихи. Пер. с молдав.: А. Коркина	Знамя	1967	5	8
Водэ, Георге.			Кольца. Стихи. Пер. с молдав.: Т. Макарова	Знамя	1967	5	9
Деляну, Ливиу.			В каждом дереве. Стихи. Пер. с молдав.: Т. Макарова	Знамя	1967	5	9
Кодру, Анатолий.			Горсть земли. Стихи. Пер. с молдав.: А. Коркина	Знамя	1967	5	10
Лотяну, Эмиль.			Столько дней. Стихи. Пер. с молдав.: А. Заурих	Знамя	1967	5	10
Боцу, Павел.			Межа. Стихи. Пер. с молдав.: А. Заурих	Знамя	1967	5	11
Бусуйок, Аурелиу.			«Когда в осеннем сером небосводе...» Стихи. Пер. с молдав.: Т.Макарова	Знамя	1967	5	11
Ватаману, Ион.			С тобой. Стихи. Пер. с молдав.: А. Бродский	Знамя	1967	5	12
Тихонов, Николай.			Длинный день. Рассказ	Знамя	1967	5	110—132
