basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Инюшин, М			По великому плану. [О гидроэнергет.строительстве в СССР К 40-летию планаГОЭЛРО Записки инженера. С предисл. ред	Новый мир	1960	4.00	167-209
Подвигина, Ео			История одной дарственнойнадписи.[О роли В. И. Ленина в создании И. И.Скворцовым-Степановым книги«ЭлектрификацияРСФСРв связи с переходной фазой мирового хозяйства»](По документам Центр. парт. архива Ин-тамарксизма-ленинизма приЦК КПСС)	Новый мир	1960	4.00	210-213
Рубин, Вл			Поэты без читателей, критики безвзглядов... (Обзор англ.лит. журн. «Отор» 1959 № 3 и 4]	Новый мир	1960	4.00	214-218
Орлова, Р			В поисках знамени. [Обзор америк.лит.-критич.еженедельника «Сэтэрдей ревью», 1959-1960 гг. ]	Новый мир	1960	4.00	218-223
			Обсуждаем проблемы современного романа.[Статьи]. С. Бабенышева.Солдаты идут на проверку. — Л. Швецова. Противнедоверия к романтике	Новый мир	1960	4.00	224-237
			О научно-художественной литературе. [Обсуждение статьи Д. Данина «Жажда ясности» в журн. «Новый мир» 1960 3,Статьи]. Ю. Вебер. Жажда ясности — жажда переживаний.— А.Смнрнов-Черкезов. Онаучном ихудожественном познании. — А. Ивич. Заметки на полях статьи	Новый мир	1960	4.00	238-249
Танк, Максим			Пять стихотворений:  «Когда-товнушали наставники мне...» — Печь. — Незабываемое. — Над озером«Морское Око» — «Я останавливаюсь у столов, где продают...» Пер. сбелорус:  Я. Хелемский	Новый мир	1960	4.00	46-48
Мирер. С. И			Рассказы о Ленине. [Публикация. Из материалов Центр. гос. архива литературыи искусства СССР]	Новый мир	1960	4.00	49-59
Антонов, Сергей			Аленка. Повесть	Новый мир	1960	4.00	60-104
Стюарт, Е			«Вы скажете, быть может:  повод мелкий...»Стихи	Новый мир	1960	5.00	48
Твардовский, А			За далью — даль. (Заключит. главыкниги)	Новый мир	1960	5.00	3-22
Стуруа, М			Весна 1960 года. [Междунар. обозрение]	Новый мир	1960	5.00	130-138
