basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Кросс, Яан.			Из первой книги стихов: На каком языке? — «Жук! — закричал малыш...» — «Коль не являет живопись секрета... »— «Что знает он о чувстве...» — «Тот дурак, кто с нами не согласен...» — Преемственность. [Пер. с эстон: Л. Тоом; Д. Самойлов]	Новый мир	1962	6.00	103-106
Эренбург, И.			Люди, годы, жизнь. [Воспоминания]. Кн. 4	Новый мир	1962	6.00	106-152
Йожеф, Аттила.			Мать. — После похорон. — Та прелестная прежняя женщина... — Ты перешла дорогу. [Сгкхи. Пер. с венгер.]: Н. Чуковский	Новый мир	1962	6.00	153-155
Бабич, Михай.			Цыганская песня. Стихи. Пер. [с венгер.]: Н. Чуковский	Новый мир	1962	6.00	155-156
Юхас, Дьюла.			Пьяница. — Кайзергруфт. [Стихи. Пер. с венгер.]: Н. Чуковский	Новый мир	1962	6.00	157-158
Дорош, К.			Книги о наших предках. [Обзор работ сотрудников Гос. Ист. музея, посвящ. описанию быта русского крестьянства]	Новый мир	1962	6.00	159-164
Темчин, Е.			Жизнь требует. [О перспективах комплексной механизации и автоматизации производства. Публицистич. заметки]	Новый мир	1962	6.00	165-172
Андреев, Кирилл.			Моя Вселенная. [О достижениях и проблемах астрон. науки]	Новый мир	1962	6.00	173-189
Гринин, Д.			Остров молодых. [Заметки о поездке на Кубу]	Новый мир	1962	6.00	190-215
Кондратович, А.			Человек на войне. [О произведениях советских писателей, посвящ. Великой Отечеств. войне]. Заметки критика	Новый мир	1962	6.00	216-228
Палиевский, П.			Фантомы. (Буржуазный мир в романах Г. Грина)	Новый мир	1962	6.00	229-243
Габинский, Николай.			Свободная территория Америки. (Книга о Кубе). [Обзор]	Новый мир	1962	6.00	267-270
Шалагинова, Л.			Письмо пятидесяти и С. Есенин. [О связи поэта с революционными рабочими Замоскворечья. 1912—1913 гг. К публикации письма члену Гос. думы Малиновскому по поводу разногласий внутри соц.-демократич. фракции думы]	Новый мир	1962	6.00	278-279
Ржевская, Е.			Земное притяжение. Повесть	Новый мир	1962	6.00	3-95
Гроссман, Вас.			Дорога. Рассказ	Новый мир	1962	6.00	96-101
Квливидзе, М.			Тийю. — Воспоминанье. [Стихи. Пер. с груз: Б. Ахмадулина; С.Поликарпов]	Новый мир	1962	7.00	108-109
Грекова, И.			За проходной. Рассказ	Новый мир	1962	7.00	110-131
Панов, Виктор.			У мастеров Урала. Очерк	Новый мир	1962	7.00	132-156
Фиш, Геннадий.			Норд вегр — путь на север. [Путевые заметки о Норвегии]	Новый мир	1962	7.00	157-167
Утченко, С.			Акрополи Эллады. [Заметки о поездке по Греции]	Новый мир	1962	7.00	168-190
Смолянский, В.			Мифы антикоммунизма. [В связи с усилением антисоветской иантикоммунистич. пропаганды в капиталистич. странах]	Новый мир	1962	7.00	191-202
Белов, И.			Размышления о бумажной ленте. [О причинах отставания бум. пром-сти.Публицистич. заметки]	Новый мир	1962	7.00	203-217
Рубин, Вл.			Самоучители пошлости. [О руководствах для начинающих журналистов иписателей, изд. в Англии]	Новый мир	1962	7.00	222-226
Мунблит, Г.			Две встречи. (Из воспоминаний об А. С. Макаренко)	Новый мир	1962	7.00	227-231
Стальский, Н.			Молодой Киршон. [К 60-летию со дня рождения писателя В. М. Киршона]	Новый мир	1962	7.00	232-234
Соловьева, Инна.			Проблемы и проза. (Заметки о творчестве В. Тендрякова)	Новый мир	1962	7.00	235-249
Евтушенко, Евг.			Шесть стихотворений: Тайны. — Размышления над Клязьмой. — «Мненравится...» — «Большой талант всегда тревожит...» — «Играла девка на гармошке...» —Давайте, мальчики!	Новый мир	1962	7.00	34-39
Гойтисоло, Хуан.			Земли Нихара. [Путевые очерки об испан. провинции. Пер. с испан. Спослесл. А. Эйснера]	Новый мир	1962	7.00	40-82
Яшин, А.			Лесные дуги. — Домбай. — Мы уже боялись... [Стихи]	Новый мир	1962	7.00	83-85
Аксенов, Василий.			Два рассказа: На полпути к луне. — Папа, сложи!	Новый мир	1962	7.00	86-107
Фрост, Роберт.			Двое бродяг в распутицу. — Двое видят двух. —Звездокол. [Стихи]. Пер. сангл.: А. Сергеев	Новый мир	1962	8.00	167-171
Куранов, Ю.			Рассказы: Половодье. — Фотография. — Снегопад. — Весенний день. —Красный огонек. — Царевна	Новый мир	1962	8.00	172-180
Тарле, Е. В.			Бородино. [Публикация отрывков из работы, написанной к 140-летиюБородин. сражения]	Новый мир	1962	8.00	181 -204
Карпович, М.			Шаг в завтра. (Заметки о межколхоз. организациях)	Новый мир	1962	8.00	205-214
Поповский, Марк.			Рецепт на бессмертие. [К проблемам соврем. фармакологии ифармации]	Новый мир	1962	8.00	215-234
Виноградов, И.			По поводу одной «вечной» темы. [Тема любви и ее решение в романах К.Львовой «Елена» и Г. Николаевой «Битва в пути»]	Новый мир	1962	8.00	235-252
Герасимов, Е.			Шелковый город. [Повесть]	Новый мир	1962	8.00	3-76
Завальнюк, Л.			На Дальнем Востоке. Стихи: «— Вы любите воду, и небо...» — «Ты грустнаясходишь с поезда...» — «Шумит весна, текут ручьи...» — «Кто ты есть?..»	Новый мир	1962	8.00	77-79
Зернова, Р.			Городской романс. Рассказ	Новый мир	1962	8.00	82-88
Бреза, Тадеуш.			Лабиринт. Роман. Пер. с польского: Ю. Мирская	Новый мир	1962	8.00	89-166
Тарба, Иван.			Какие нам орбиты суждены... Стихи. Пер. с абхаз: Ю. Мэриц	Новый мир	1962	9.00	6
Щипачев, Степан.			«Как видно, детство...» Стихи	Новый мир	1962	9.00	110
Некрасов, Виктор.			«Санта Мария» или Почему я возненавидел игру в мяч. Рассказ	Новый мир	1962	9.00	111-113
Соколов-Микитов, И.			На своей земле. Записи давних лет. [Из воспоминаний писателя]	Новый мир	1962	9.00	114-126
Вальшонок, З.			Мать-и-мачеха. Стихи	Новый мир	1962	9.00	127-128
Бреза, Тадеуш.			Лабиринт. Роман. Пер. с польского: Ю. Мирская	Новый мир	1962	9.00	129-198
Борин, А.			Потомки катальщика Гаврилы. [О повышении культ.-техн. уровня рабочих. На примере Нижне-Тагильского металлургич. комбината]	Новый мир	1962	9.00	199-215
Хейердал, Тур.			Статуи острова Пасхи. (Проблемы и итоги). [Текст лекции об исследовании памятников материальной культуры]. Пер. с норвеж	Новый мир	1962	9.00	216-229
Андроников, Ираклий.			Разгадка тысячелетней тайны. [О работе П. Ингороква над расшифровкой древнегруз. нотописи]	Новый мир	1962	9.00	230-238
Туровская, М.			Прозаическое и поэтическое кино сегодня	Новый мир	1962	9.00	239-255
Чичерин, Александр.			Тетрадь Александра 4ичервдна. [Публикация дневника участника Отечеств. войны 1812 г. Подгот. к печати С. Г. Энгель и М. И. Перпер. С предисл., ред. и послесл. Л. Бескровного]	Новый мир	1962	9.00	7-70
Танк, Максим.			Новые стихи: «Когда расставания песню...» — «В городе...» — «Пусть яростно спорят поэты...» — «Я обиду простил...» — «Не верьте, что некогда...» Пер. с белорус: Я. Хелемский	Новый мир	1962	9.00	71-73
Некрасов, Алексей.			Старики Кирсановы. Повесть	Новый мир	1962	9.00	74-109
Щипачев, Степан.			В Калифорнии. Стихи	Новый мир	1962	10.00	47
			Эммануил Генрихович Казакевич. [1913—1962. Некролог]	Новый мир	1962	10.00	287
Кулешов, А.			Из новой книги стихов: «Есть у поэта свой надел целинный...» — «Всембороздам, канавам и кюветам...» — «Березу посадил я при дороге...» — «Десятилетьямчатся год за годом...» — «Часы мои — не солнца диск в зените...» — «Небесный океан вхолодной мгле...» — «Покинув берег, первый шторм я встретил...» — «Опять стою,объятый чувством странным...» — «А вечность с неизведанных дорог...» — «Нестародавний бард, но все равно я...» — «Мне что ни год, то жизнью жить иной...» —«Сравнить бы музу с матерью моей...» — «Я гибну от бездействия не месяц...» Авториз.пер. с белорус: Я. Хелемский	Новый мир	1962	10.00	3-8
Сент-Экзюпери, Антуан де.			Письмо заложнику. Рассказ. Пер. с франц: Р. Грачев. [Спредисл. ред.]	Новый мир	1962	10.00	123-132
Беляев, Ю.	Тандит, В		Братское содружество стран социализма	Новый мир	1962	10.00	133-143
Майский, И. М.			Первые шаги посла. [Из воспоминаний советского посла в Англии1932—1933 гг.]	Новый мир	1962	10.00	144-193
Радволина, И.			Встречи с Чехословакией. [Путевые заметки]	Новый мир	1962	10.00	194-216
Кузнецов, М.			Судьбы гуманизма. [Заметки о творчестве К. Федина]	Новый мир	1962	10.00	217-230
Крупская, Н. К.			Из литературного наследия Н. К. Крупской. Заключение Н. К. Ульяновойпо поводу проекта литературного отдела при Наркомпросе. [Публикация, предисл.,послесл. и примеч. В. Максимовой]	Новый мир	1962	10.00	270-274
Паустовский, Константин.			О человеке и друге. [Памяти Э. Г. Казакевича.1913—1962]	Новый мир	1962	10.00	287-288
Соколов-Микитов, И.			На своей земле. Записи давних лет. [Из воспоминаний писателя]	Новый мир	1962	10.00	48-80
Каверин, В.			Косой дождь. Повесть	Новый мир	1962	10.00	81-122
Дорош, Ефим.			Райгород в феврале. Очерк	Новый мир	1962	10.00	9-46
Межелайтис, Э.			Гимн утру. — Ржавчина. — Воздух. [Стихи. Пер. с литов: Д. Самойлов; С. Куняев]	Новый мир	1962	11.00	3-7
Мечиев, Кязим.			Стихи разных лет: «Я слагаю стихи и железо кую...» — Завещание сыну. — «Я сравню тебя с моей стрелою...» — «Серый камень сорвался с утеса...» — «Если дождь прошел и даль светла...» — «Чтоб родину избавить от невзгод...» — «Идет в ауле дождь, блестя, шумя, струясь...» — «Кругом жестокий вихрь, тяжелый снегопад...» — «В трубу моей сакли падает черный снег...» — «Толкуют о царе, о войске говорят...» — «Я понял: честен путь большевиков...» — «Советская власть — это ствол золотой...» — «Нагрянет смерть — мой пес мне лаем не поможет...» Пер. с балкар: С. Липкин	Новый мир	1962	11.00	108-111
Некрасов, Виктор.			По обе стороны океана. [Из путевых впечатлений]. 1. Италия	Новый мир	1962	11.00	112-148
Стюарт, Е.			Подрастают мальчишки. Стихи	Новый мир	1962	11.00	149-150
Павленко, Анатолий.			Большая Знаменка. Стихи	Новый мир	1962	11.00	151-152
Хемингуэй, Эрнест.			Мотылек и Танк. Рассказ. Пер. с англ: И. Кашкин	Новый мир	1962	11.00	153-158
Жуков, Юрий.			Жизнь и смерть Патриса Лумумбы. [Главы из книги «Вокруг света»]	Новый мир	1962	11.00	159-186
Володин, Борис.			Космическая медицина. Как рассказал о ней действ. чл. Акад. мед. наук В. В. Парин	Новый мир	1962	11.00	186-192
Волин, П.			О том, что мешает изобретателям. [Публицистич. заметки]	Новый мир	1962	11.00	193-206
Семенихин, В.			Учить и учиться разумно. [О совершенствовании методики преподавания в сред. школе]	Новый мир	1962	11.00	206-210
Айзерман, Л.			К миру прекрасного. [Заметки о методике преподавания литературы в сред. школе]	Новый мир	1962	11.00	211-215
Владимиров, С.			Кто же их научит? [К вопросу о необходимости пересмотра системы составления учебников физики для сред. школы]	Новый мир	1962	11.00	216-223
Чуковский, Корней.			Маршак. [К 75-летию со дня рождения]	Новый мир	1962	11.00	224-228
Лакшин, В.			Доверие. [О повестях П. Нилина ]	Новый мир	1962	11.00	229-241
Дементьев, А.			На провинциальном уровне. [О спец. выпуске франц. журн. «Леттр нувель», посвящ. советской литературе]	Новый мир	1962	11.00	242-244
Яковлев, Б.			«По поручению Владимира Ильича...» [В связи с публикацией в журн. «Ист. архив» 1962 1 «Писем В. И. Ленина в редакцию «Правды» (1912—1914 гг.)» и переписки Упр. делами Совета Нар. Комиссаров за янв. 1918 — окт. 1922 г., напеч. под загл. «Поручения В. И. Ленина и их выполнение»]	Новый мир	1962	11.00	267-271
Маршак, С.			Десять четверостиший: «Дождись, поэт, душевного затишья...»; «Пусть будет небом верхняя строка...»; «За несколько шагов до водопада...»; «Давно ли усталое солнце зашло...»; «Должно быть, ветер понемножку...»; «Только ночью видишь ты вселенную...»; «Мы принимаем все, что получаем...»; «Питает жизнь ключом своим искусство...»; «Над прошлым, как над горною грядой...»; «Красиво пишет первый ученик...» — Из Вильяма Блейка. [Стихи]	Новый мир	1962	11.00	75-76
Бруштейн, Александра.			Простая операция. [Из воспоминаний писательницы]	Новый мир	1962	11.00	77-107
Солженицын, А.			Один день Ивана Денисовича. Повесть. [С вступит. заметкой А. Твардовского «Вместо предисловия»]	Новый мир	1962	11.00	8-74
Яшин, Александр.			Вологодская свадьба. [Очерк]	Новый мир	1962	12.00	3-26
Йожеф, Атилла.			Из лирики: Arc poetica. — Сытый дождь. — Свинопас. — Дел по горло...— Март. [Пер. с венгер.: Д. Самойлов; В. Корнилов; Л Мартынов; М. Алигер]	Новый мир	1962	12.00	106-109
Некрасов, Виктор.			По обе стороны океана. [Из путевых впечатлений]: 1. Италия. — 2. ВАмерике	Новый мир	1962	12.00	110-15
Зегерс, Анна.			Свет на виселице. Карибская история времен франц. революции. [Повесть]	Новый мир	1962	12.00	153-216
Цукерник, Д.			Как была открыта Америка. [Новые материалы о путешествии Х. Колумба]	Новый мир	1962	12.00	217-241
Туровская, М.			Мифология технической эры. [Об ажиотаже, раздуваемом в капиталистич.странах вокруг некоторых науч. гипотез]	Новый мир	1962	12.00	242-251
Матвеева, Новелла.			Первый шаг. — Древесина. — Портрет. — «Пастух по саду выстрелилкнутом...» [Стихи]	Новый мир	1962	12.00	27-30
Костерина, Нина.			Дневник Нины Костериной. [Публикация дневникакомсомолки-партизанки Великой Отечеств. войны. Напеч. с сокращениями]	Новый мир	1962	12.00	31-105
Луконин, Михаил.			Минуты века. [Стихи]: Обелиск. — Про это. — В полете. — Осень. —Спите, люди	Новый мир	1963	1.00	3-8
Волынский, Леонид.			Сквозь ночь. К истории одной безымянной могилы. [Извоспоминаний участника Великой Отечеств. войны]	Новый мир	1963	1.00	113-143
Нэш, Огден.			Стихи разных лет: Банкиры — такие же люди, только побогаче. —Артезианская находчивость. — Ужасные люди. — Портрет художника в преждевременнойстарости. — Правды в мешке не утаишь! — Как мистер Баркалоу не выдержал. —Меморандум для внутреннего пользования. [Стихи америк. поэта. Пер. с англ.: И.Комарова]	Новый мир	1963	1.00	153-159
Забелин, И.			Человек коммунизма, природа и наука	Новый мир	1963	1.00	160-184
Пешкин, И.			Операция «ХЛ». [О реконструкции Ждановского металлургич. заводаим. Ильича. Очерк]	Новый мир	1963	1.00	185-198
Бачелис, Татьяна.			Режиссер Станиславский. (К 100-летию со дня рождения)	Новый мир	1963	1.00	199-217
Манн, Ю.			Художественная условность и время. [К вопросу о соврем. стиле в литературе]	Новый мир	1963	1.00	218-235
			Современники о Маяковском. [Воспоминания]: Б. Лавренев. 1913-й, 1918-й... — Я.Черняк. В незабываемые дни. — П. Незнамов, Там, где жил Маяковский. — В.Гоофеншефер. Два разговора. [С предисл. ред.]	Новый мир	1963	1.00	229-243
Бирюков, Ф.			«Железный поток» и его комментаторы. (К 100летию со дня рождения А. С.Серафимовича)	Новый мир	1963	1.00	236-244
Гривнин, В.			Боевой год. [Обзор япон. журн. «Бунка херон» («Культ, обозрение») за1962 г.]	Новый мир	1963	1.00	245-248
Ахматова, Анна.			Из новых стихов: Родная земля. — Последняя роза. — Двачетверостишия. —Царскосельская ода. (Девяностые годы)	Новый мир	1963	1.00	64-66
Эренбург, И.			Люди, годы, жизнь. [Воспоминания]. Кн. 5	Новый мир	1963	1.00	67-11
Щипачев, Степан.			Ночью. Стихи	Новый мир	1963	2.00	149
Кено, Рэмон.			Искусство поэзии. Стихи. Пер. с франц.: М. Кудинов	Новый мир	1963	2.00	199
Маллэ, Робер.			Одним ударом. Стихи. Пер. с франц.: М. Кудинов	Новый мир	1963	2.00	200
Эренбург, И.			Люди, годы, жизнь. Воспоминания. Кн. 5	Новый мир	1963	2.00	107-14
Гамзатов, Расул.			Новые стихи: Строфы о собраниях. — Песня, которую поет мать своемубольному сыну. — Моим редакторам. — «Опять нас разлучили расстоянья...» — «Я поройодин бреду по свету...» — «Горит очаг, над саклей дым кривой...» — «— Вон человек, чтоскажешь ты о нем?..» — «Время мое не щадило героев...» — «Вновь часы пробили настене...» — «Всезнающих людей на свете нет...» — «—Ты мне ответь, веселый человек...»— «Я не ложусь один...» — «Если ты андиец, друг...» — «Плод бессонниц моих и забот...»Пер. с авар.: Н. Гребнев	Новый мир	1963	2.00	144-148
Войнович, Владимир.			Два рассказа: Хочу быть честным. — Расстояние в полкилометра	Новый мир	1963	2.00	150-197
Френо, Андре.			Мой дом. Стихи. Пер. с франц: М. Кудинов	Новый мир	1963	2.00	198-199
Тардье, Жан.			Лояльный гражданин Вселенной (педантичный и суховатый, но, в сущности,сговорчивый). Стихи. Пер. с франц.: М. Кудинов	Новый мир	1963	2.00	199-200
Мишо, Анри.			Тихий человек. Стихи. Пер. с франц.: М. Кудинов	Новый мир	1963	2.00	200-201
Сергеев, Владимир.			Снова на Чукотке. [Из путевых впечатлений]	Новый мир	1963	2.00	202-229
Жуков, К.			Большое новоселье и большие задачи. (Заметки о крупнопанельномдомостроении)	Новый мир	1963	2.00	230-238
Чудакова, М.	Чудаков, А.		Искусство целого. (Заметки о соврем. рассказе)	Новый мир	1963	2.00	239-254
Александров, В.			Фронтовые рукописи. [Статья лит. консультанта при Воен. изд-ве опроизведениях солдат и офицеров Советской Армии, написанных в годы ВеликойОтечеств. войны. Из материалов Центр. гос. архива литературы и искусства]	Новый мир	1963	2.00	3-45
Воробьев, Константин.			Убиты под Москвой. Повесть	Новый мир	1963	2.00	46-75
Шукшин, В.			Они с Катуни. Рассказы: Игнаха приехал. — Одни. — Гринька Малюгин. —Классный водитель	Новый мир	1963	2.00	76-106
Яшин, Александр.			Огонек. — После снегопада. — Песня без слов. [Стихи]	Новый мир	1963	3.00	114-115
Эренбург, И.			Люди, годы, жизнь. [Воспоминания]. Кн. 5	Новый мир	1963	3.00	116-13
Самойлов, Д.			Два стихотворения: «Странно стариться. Очень странно...» — Дом-музей	Новый мир	1963	3.00	140-141
Исаков, И.			Конец одной «девятки». (Из невыдуманных рассказов)	Новый мир	1963	3.00	142-158
Киселев, Леонид.			Первые стихи: «Еще мальчишкой удивился дико...» — «Все изменчиво!Все в движенье!..» — «Я воспитывался в очередях...» — «Яблоню, что растет на улице...»— «Вы не пытались проследить...»	Новый мир	1963	3.00	159-160
Хадзис, Димитрис.			Детектив. Рассказ. Пер. с новогреч.: Н. Подземская	Новый мир	1963	3.00	161-170
Нуяма Хироси.			Стихи из тюрьмы: Пылающий снег. — Зимнее небо. — Тюремные стены.Пер. с япон.: А. Мамонов	Новый мир	1963	3.00	171-173
Иванов, Леонид.			В родных местах. [О сел. хозяйстве Удомельского района Калининскойобл. Очерк]	Новый мир	1963	3.00	174-200
Чижевский, А.			«Эффект Циолковского». [Об идее вездехода на воздушной подушке. Извоспоминаний о встречах с К. Э. Циолковским]	Новый мир	1963	3.00	201-207
Сурвилло, В.			Ответственность таланта. [Заметки о романе Д. Гранина «Иду на грозу»]	Новый мир	1963	3.00	208-223
Ильина, Наталия.			К вопросу о традиции и новаторстве в жанре «дамской повести». (Опытлитературоведческого анализа). [Лит. фельетон]	Новый мир	1963	3.00	224-230
Толстой, Лев.			Неопубликованные письма Льва Толстого. [Публикация писем к Н. А.Любимову. 1866, 1875, 1876, 1896 гг. Предисл.: Л. Любимов. Примеч.: Э. Зайденшнур]	Новый мир	1963	3.00	231-235
Молчанов, А.			В Ясной Поляне. [Интервью с Л. Н. Толстым, опублик. в газ. «Новое время»,1890, 7 июня. Напеч. с сокращениями. С предисл. В. Л. «Забытое интервью с ЛьвомТолстым»]	Новый мир	1963	3.00	235-238
Хрущев, Н. С.			Высокая идейность и художественное мастерство — великая сила советскойлитературы и искусства. Речь т. Н. С. Хрущева на встрече руководителей партии иправительства с деятелями литературы и искусства 8 марта 1963 г	Новый мир	1963	3.00	3-33
Липатов, В.			Черный Яр. Повесть	Новый мир	1963	3.00	34-113
Щипачев, Степан.			Я знаю ее. Стихи	Новый мир	1963	4.00	118
Радкевич, В.			Трактористка. Стихи	Новый мир	1963	4.00	155
Галлай, М.			Испытано в небе. Вторая книга записок летчика-испытателя «Через невидимыебарьеры»	Новый мир	1963	4.00	5010
Каладзе, Карло.			А Прометей, сын наших гор... — Ночь во время сбора винограда. —Фреска. — Осень. — Зимняя ночь в деревне. — «О, дня сиянье голубое...» [Стихи. Пер. сгруз.: В. Корнилов; Э. Котляр; В. Соколов]	Новый мир	1963	4.00	109-114
Троепольский, Г.			В камышах. Из тетрадей охотника. [Повесть]	Новый мир	1963	4.00	11-49
Смирнов, Юрий.			Из первых стихов: Коломенское. — Звезды. — «Не каркай, ворона, некаркай...» — «Я изучаю микромир...» — «Видать, сегодня лодморозило...»	Новый мир	1963	4.00	115-117
Гойтисоло, Хуан.			Чанка. Из цикла очерков о соврем. Испании. [Очерк 2]. Пер. с испан	Новый мир	1963	4.00	119-15
Ленин, В. И.			Начало пути. Автобиогр. высказывания В. И. Ленина. (1886—1893). [Обзор.Сост. Б. Яковлев. С предисл. ред.]	Новый мир	1963	4.00	166-171
Осипов, И.			Впереди — море. [О поисках нефти в Туркм. ССР]. Очерк	Новый мир	1963	4.00	172-186
Иванов, С.			Труд, техника, эстетика. [К проблемам пром. эстетики]	Новый мир	1963	4.00	186-201
Кондратов, А.			Люди и знаки. [Заметки о семиотике]	Новый мир	1963	4.00	202-215
Бедный, Демьян.			«Писать правду жизни...»: Из выступления на первом расширенномпленуме центрального совета ЛОКАФа. — Из выступления на открытии рабочего Лит.ун-та в Москве. [Публикация А. П. Антоненковой]	Новый мир	1963	4.00	216-220
Полякова, Е.			После первой книги. [Заметки о творчестве молодых прозаиков]	Новый мир	1963	4.00	221-233
Гудзий, Н.			Что считать «каноническим» текстом «Войны и мира»?	Новый мир	1963	4.00	234-246
Горький, А. М.			А. М. Горький в экспертной комиссии Наркомвнешторга. [Публикация документов изфондов Центр. Гос. архива нар. хозяйства. 1919—1920 гг. Подгот. и коммент.: С. Беляков]	Новый мир	1963	4.00	247-250
Воронько, Платон.			Человек с чистой совестью. [Памяти П. П. Вершигоры]	Новый мир	1963	4.00	287-288
Винокуров, Е.			Память. Стихи	Новый мир	1963	5.00	64
Майоров, Николай.			«Нам не дано спокойно сгнить в могиле...» Стихи	Новый мир	1963	5.00	157
Гамзатов, Расул.			Из лирики: Мой возраст. — Горцам, переселяющимся на равнину.Авториз. пер. с авар.: Н. Гребнев	Новый мир	1963	5.00	3-5
Кульчицкий, Михаил.			Бессмертие. (Из незавершенной поэмы)	Новый мир	1963	5.00	145-146
Отрада, Николай.			Футбол. Стихи	Новый мир	1963	5.00	146-147
Кондратьев, Евгений.			На китобойце. (Из записок новичка)	Новый мир	1963	5.00	148-176
Истлейк, В.			Прощай, крокодил. [Рассказ америк. писателя]. Пер. с англ.: Ю. Жукова и Б.Рубальский	Новый мир	1963	5.00	177-184
Ратманова-Кольцова, Е.			Судьба книги. [О литературе, подвергшейся уничтожению вгитлеровской Германии]. Из книги «Путешествие в прожитые годы»	Новый мир	1963	5.00	185-191
Орлова, Р.			Что значить жить в шестидесятые годы? [О нравств. проблемах соврем.америк. прозы. По страницам америк. журн. «Time»]	Новый мир	1963	5.00	230-234
Дементьев, А.			В. И. Ленин и литературная журналистика	Новый мир	1963	5.00	235-248
Полякова, Н.			Каким был Гайдар? [Заметки о литературе, посвящ. писателю. С предисл.ред.]	Новый мир	1963	5.00	277-282
Айтматов, Чингиз.			Материнское поле. Повесть. Пер. с киргиз. автора	Новый мир	1963	5.00	6-61
Щипачев, С.			Два стихотворения: Поэзия. — О жизни и смерти	Новый мир	1963	5.00	62-63
Галлай, М.			Испытано в небе. 2-я книга записок летчика-испытателя «Через невидимыебарьеры»	Новый мир	1963	5.00	65-14
Сухарев, Дмитрий.			Прощание с Молдавией. Стихи	Новый мир	1963	6.00	117
Бровка, Петрусь.			Из новых стихов: Труби, мой бор. — «Да, мы живем в такое время...» —«Казался веком день весенний...» — «Лопочут клены у дорог...» Авториз. пер. с белорус.:Я. Хелемский	Новый мир	1963	6.00	3-5
Щеглов, Марк.			Студенческие тетради. — Из лит. заметок (1954—1956). [С предисл. В.Лакшина «Несколько слов об авторе»]	Новый мир	1963	6.00	118-157
Ленин, В. И.			В канун рождения партии. Автобиогр. высказывания В. И. Ленина.1893—1900. [Обзор. Сост. Б. Яковлев]	Новый мир	1963	6.00	158-191
Гурунц, Леонид.			Карабах, край родной. [Очерк]	Новый мир	1963	6.00	192-212
Эпштейн, С.			Трагедия обманутого народа. [По материалам книги америк. социолога С.Чейза «Во что веруют американцы»]	Новый мир	1963	6.00	213-223
Сац, И.			О взглядах А. В. Луначарского на изобразительное искусство	Новый мир	1963	6.00	230-242
Паперный, З.			Романтика человечности. (К 60-летию со дня рождения М. А. Светлова)	Новый мир	1963	6.00	243-249
Карим, Мустай.			Три стихотворения: Невеселый рассказ о друге. —«Я вчера под хмелькомпохвалил молодого поэта...»—«В дальний путь седлают непременно...» Пер. с башкир.: И.Снегова	Новый мир	1963	6.00	50-52
Орлов, И.			Жарким летом. Из путевых тетрадей	Новый мир	1963	6.00	53-86
Дубов, Николай.			Мальчик у моря. Повесть	Новый мир	1963	6.00	6-49
Тувим, Юлиан.			Цветы Польши. Из поэмы. Пер. с польского и предисл. Н. Чуковского	Новый мир	1963	6.00	87-92
Паустовский, Константин.			Третье свидание. [Воспоминания о поездке в Польскую Нар.Республику]	Новый мир	1963	6.00	93-116
Шефнер, Вадим.			Под Лугой. Стихи	Новый мир	1963	7.00	126
Драбкина, Е.			Удивительные люди. [О большевиках, деятелях дореволюционногоподполья]. Из книги «Под одной звездой...»	Новый мир	1963	7.00	3-27
Малларди, Антонио.			Левантаццо. [Очерки]. Пер. с итал.: Л. Вершинин	Новый мир	1963	7.00	127-172
Ермашев, И.			Вечный огонь. [К 60-летию II съезда РСДРП]	Новый мир	1963	7.00	173-185
Ленин, В. И.			Годы «Искры». Автобиогр. высказывания В. И. Ленина. 1900—1903. [Обзор.Сост. Б. Яковлев]	Новый мир	1963	7.00	186-207
Гнедин, Е.			На Западе — перемены. Новые черты стачечной борьбы в странах «Общегорынка»	Новый мир	1963	7.00	208-221
Дорош, Ефим.			Художник и книга. [О мастерстве худож.-иллюстратора Н. В. Кузьмина]	Новый мир	1963	7.00	222-228
			Говорят партийные работники. [Из практики идеол. работы. Статьи]: В. Загорский.Рузаевские огни. — А. Козлов. Воспитывать нового человека! — К. Катушев. По Ильичу.— П. Давыдов. Уменье убеждать. — М. Сергеев. Главное условие	Новый мир	1963	7.00	28-52
Танк, Максим.			Из новой книги стихов: «Когда покидаешь Отчизну...» — Космонавт. —Топится баня. — Таблица умножения. — «Сушатся сети рыбацкие...» — «Подряд листаюстарые святцы я...» — «Солнце, которое ты видишь...» — У пирса. — Во Флоренции.Авториз. пер. с белорус.: Я. Хелемский	Новый мир	1963	7.00	53-57
Солженицын, А.			Для пользы дела. Рассказ	Новый мир	1963	7.00	58-90
Алигер, Маргарита.			Японские заметки. Стихи: Япония для туристов. — Искусствосоставлять букеты. — Театр Но	Новый мир	1963	7.00	91-93
Мельников, Н.			Строится мост. Из записок корреспондента	Новый мир	1963	7.00	94-125
Ерикеев, Ахмед.			Два стихотворения: «Где тонут березы в сугробе лесном...» — «Дворец,что стал искусств сосредоточьем...» Пер. с татар.: С. Липкин	Новый мир	1963	8.00	156
Рыленков, Н.			Ветер времени. [Из воспоминаний]	Новый мир	1963	8.00	157-169
Горчаков, О.			Группа «Максим». [О подвиге партизанской группы. Дек. 1942 г.]	Новый мир	1963	8.00	170-186
Шаров, А.			Противовирусная битва. (Из истории советской мед. вирусологии]	Новый мир	1963	8.00	187-207
Виноградская, Полина.			Последний рейс. (Воспоминания о Я. М. Свердлове)	Новый мир	1963	8.00	208-219
