contribution_title	aut_id	aut_viaf	aut_lastn_r	aut_firstn_r	aut_lastn_e	aut_firstn_e	journal	year	issue	start_page	end_page	pagetotal
Мыс Дондра. Стихи	108411381	108411381	Тихонов	Николай	Tikhonov	Nikolai	Знамя	1960	1	3	9	7
Дороги, которые мы выбираем.Роман	99145990	99145990	Чаковский	Александр	Chakovskii	Aleksandr	Знамя	1960	1	10	53	44
Капля росы. [Повесть]	68936005	68936005	Солоухин	Владимир	Soloukhin	Vladimir	Знамя	1960	1	54	106	53
Новые дома. Стихи: Жилищноестроительство. — Вселение. — Окраина. — «Когда-нибудьМосква достроится...»— «Я учитель школы для взрослых...»	56835616	56835616	Слуцкий	Борис	Slutskii	Boris	Знамя	1960	1	107	109	3
Трудна любовь. Рассказ	97734682	97734682	Чуковский	Николай	Chukovskii	Nikolai	Знамя	1960	1	110	142	33
Партия ведет. [О достижениях советской экономики, науки и культуры в 1959 г. Заметки публициста]	79559380	79559380	Рябчиков	Е	Riabchikov	E	Знамя	1960	1	143	157	15
Путешествие в атомный век. [Остроительстве Ново-Воронежской атомной электростанции. Очерк]	305098169	305098169	Курганов	О	Kurganov	O	Знамя	1960	1	158	170	13
Впереди времени. [К 100-летиюсо дня рождения А. П. Чехова]	108303033	108303033	Шкловский	Виктор	Shklovskii	Viktor	Знамя	1960	1	171	185	15
Вспоминая Чехова. [К 100-летию со днярождения]	77715689	77715689	Макаров	А	Makarov	A	Знамя	1960	1	186	209	24
Писатель и новая действительность. [Оработах лит. критика В. Перцова, вошедших в одноим.сборник]	32384151	32384151	Книпович	Е	Knipovich	E	Знамя	1960	1	210	219	10
Капля росы. [Повесть]	68936005	68936005	Солоухин	Владимир	Soloukhin	Vladimir	Знамя	1960	2	3	76	74
Дороги, которые мы выбираем.Роман	99145990	99145990	Чаковский	Александр	Chakovskii	Aleksandr	Знамя	1960	2	77	125	49
Север и Восток. Стихи: Волга. —Дождь. — Тергеш. — «О земля — зеленый ветер...» — «Небостало оченьсиним...»	567		Панкратов	Юрий	Pankratov	Iurii	Знамя	1960	2	126	128	3
Проблема пространства. Рассказ	704		Тихомиров	Вл	Tikhomirov	Vl	Знамя	1960	2	129	131	3
Рассказ о первом планшете	557		Озорнов	Леонид	Ozornov	Leonid	Знамя	1960	2	132	145	14
Лахме вернется в 8.00. Рассказ	109392503	109392503	Семенов	Юлиан	Semenov	Iulian	Знамя	1960	2	146	155	10
15 лет спустя. (Из румын. дневника)	9962290	9962290	Полевой	Борис	Polevoi	Boris	Знамя	1960	2	156	187	32
Новый приток. (На заводе имениВладимира Ильича). [О работе комиссий парт. организаций поконтролюза деятельностью администрации. Очерк]	84947487	84947487	Рощин	М	Roshchin	M	Знамя	1960	2	188	199	12
Время, дела, лирика. [Советскаяпоэзия в 1959 г. Обзор]	35758241	35758241	Панков	Виктор	Pankov	Viktor	Знамя	1960	2	200	218	19
Дороги, которые мы выбираем Роман	99145990	99145990	Чаковский	Александр	Chakovskii	Aleksandr	Знамя	1960	3	3	109	107
Станция «Выдумка». Стихи	17335349	17335349	Асеев	Николай	Aseev	Nikolai	Знамя	1960	3	110	115	6
Ленинградская тетрадь. Стихи	76583646	76583646	Кирсанов	Семен	Kirsanov	Semen	Знамя	1960	3	116	125	10
Такая девушка. Рассказ	201916611	201916611	Емельянова	Н	Emel'ianova	N	Знамя	1960	3	124	142	19
Рассвет. Стихи	428315	428315	Демин	Михаил	Demin	Mikhail	Знамя	1960	3	142	142	
Ракета на выставке. Стихи	74780736	74780736	Куняев	Станислав	Kuniaev	Stanislav	Знамя	1960	3	143	143	
Два рассказа: Белый индюк. — Рождество в Иенде. Пер. с англ: Н. Ветошкина и Э.Питерская	598		Причард	Катарина Сусанна	Prichard	Katarina Susanna	Знамя	1960	3	143	169	27
«Профессия: публицист». [О характерныхчертах Ленина-публициста]. К 90-летию со дня рождения В. И.Ленина	48095519	48095519	Яковлев	Б	Iakovlev	B	Знамя	1960	3	170	172	13
Колхозы и совхозы во. втором годусемилетки.[Публицистич. заметки]	501		Мацкевич	В	Matskevich	V	Знамя	1960	3	173	183	11
Заметки об Америке. [Впечатления членаделегациисоветскихкомпозиторов]	387		Кабалевский	Дм	Kabalevskii	Dm	Знамя	1960	3	184	203	20
Труд и характер. [О романе Б. Кербабаева«Небит-Даг»]	61965010	61965010	Кедрина	З	Kedrina	Z	Знамя	1960	3	204	214	11
Слово о Ленине. [К 90-летию со дня рождения В. И. Ленина. Статьи]: Г. Абашидзе. Символ света. — М. Ауэзов. Человек мира. — Г. Борян. Сеятель жизни. — П. Бровка. Человек-солнце. — В.Гаганова. В нашем сердце. — Д. Гулиа. Живой ленинизм. — М.Ибрагимов. Родник дружбы. —А. Первенцев. Вот что такое Ленсо! — Б. Полевой. Великая любовь. — Ш. Рашидов. Рахмат Ленину! — М. Рыльский. Штрихи характера. — Я. Судрабкалн. Всегда с народом	99999						Знамя	1960	4	3	30	28
При Ленине. Стихи	76583646	76583646	Кирсанов	Семен	Kirsanov	Semen	Знамя	1960	4	31	33	3
Знакомьтесь, Балуев. Повесть	108623207	108623207	Кожевников	Вадим	Kozhevnikov	Vadim	Знамя	1960	4	34	146	113
Великая тема. [О работе над образом В. И. Ленина]. Заметки художника	39550569	39550569	Жуков	Н Н	Zhukov	N N	Знамя	1960	4	147	154	8
Читая Ленинский сборник... [О XXXVi Ленинском сборнике]	21164385	21164385	Рюриков	Б	Riurikov	B	Знамя	1960	4	155	166	12
Советский характер. [О мужестве и героизме советских воинов А. Р. Зиганшина, Ф. Г. Поплавскрго, А. Ф.Крючковского и И. Е. Федотова, проявл. в борьбе со стихией]	79397721	79397721	Кренкель	Эрнст	Krenkel'	Ernst	Знамя	1960	4	167	170	4
После урагана. [Заметки журналиста о поездке Н. С. Хрущева в США]	65322915	65322915	Грибачев	Николай	Gribachev	Nikolai	Знамя	1960	4	171	206	36
Человечность, народность, мастерство. (О 2-й книге «Поднятой целины» М. Шолохова)	242174192	242174192	Якименко	Л	Iakimenko	L	Знамя	1960	4	207	224	18
Утро. — Ясное небо. — Средина осени. —«Над высокою кроною месяц в окне...» — «Вот и январь.Полночный небосвод...» [Стихи]. Пер. с Вьетнам: К. Гусев	743		Хо	Ши Мин	Kho	Shi Min	Знамя	1960	5	3	4	2
Знакомьтесь, Балуев. Повесть	108623207	108623207	Кожевников	Вадим	Kozhevnikov	Vadim	Знамя	1960	5	5	55	51
Записки старого летчика. Рассказы:Экзотика. — Гроза. — Жаворонки. — Помеха	705		Тихомолов	Борис	Tikhomolov	Boris	Знамя	1960	5	56	66	11
Четыре стихотворения: Лилия.— Фонарь. — Ты часто сетовал... — Июль	28005320	28005320	Татьяничева	Людмила	Tat'ianicheva	Liudmila	Знамя	1960	5	67	68	2
Большой старт. Повесть одерзании	5338044	5338044	Аграновский	Анатолий	Agranovskii	Anatolii	Знамя	1960	5	69	119	51
Третье путешествие. [Запискиучастников туристской поездки на велосипедах смоторчиками]	323		Дар	Д	Dar	D	Знамя	1960	5	120	138	19
На рубеже. [О Герм. Демократич.Республике. Заметки писателя]	5716141	5716141	Гинзбург	Лев	Ginzburg	Lev	Знамя	1960	5	139	160	22
Пять колец над Скво Вэлли. [Заметкиспортивного обозревателя о VIII Зимних олимпийских играх]	261		Викторов	В	Viktorov	V	Знамя	1960	5	161	176	16
На стрежне жизни. (Заметки омастерстве М. Шолохова)	35758241	35758241	Панков	Виктор	Pankov	Viktor	Знамя	1960	5	177	188	12
Исповедь обыкновенного человека.[Заметки о романе В. Тендрякова «За бегущим днем»]	33447693	33447693	Старикова	Е	Starikova	E	Знамя	1960	5	189	207	19
Сердце с правдой вдвоем. [О поэзии М.Турсун-заде]	77715689	77715689	Макаров	А	Makarov	A	Знамя	1960	5	208	211	4
Поэзия большой мысли. [О творчестве М.Рыльского]	22940804	22940804	Рыленков	Н	Rylenkov	N	Знамя	1960	5	212	214	3
Добрый талант. [О рассказах Э. Шима]	47815810	47815810	Бушин	В	Bushin	V	Знамя	1960	5	217	221	5
Иначе жить не стоит. Роман. Ч. 1	57090026	57090026	Кетлинская	Вера	Ketlinskaia	Vera	Знамя	1960	6	3	93	91
На Ангаре. Стихи: Ангара. — Трасса. — Город и палатки. —Тайга. — Новый город. — В путь	103398801	103398801	Преловский	Анатолий	Prelovskii	Anatolii	Знамя	1960	6	94	96	3
Вдали от дома. Рассказы: Глоток воды. — «Святая Мария»	247		Братья	Тур	Brat'ia	Tur	Знамя	1960	6	97	113	17
Новые стихи: «Во имя человеческого счастья...»—«Лишь сердце словужизнь дает...» — «Что любви твоей достоверней...» — «Не по-праздничномупозолоченную...»	22940804	22940804	Рыленков	Ник	Rylenkov	Nik	Знамя	1960	6	114	115	2
Департамент грязных дел. Заметки о подрывной работе америк.разведки	305963714	305963714	Минаев	Владислав	Minaev	Vladislav	Знамя	1960	6	116	141	26
Машины времени. (Размышления об автоматизации)	206021736	206021736	Захарченко	Вас	Zakharchenko	Vas	Знамя	1960	6	142	161	20
Третье путешествие. [Записки участников туристской поездки навелосипедах с моторчиками]	323		Дар	Д	Dar	D	Знамя	1960	6	162	177	16
Ближние и дальние. [О героях соврем. литературы]	17371910	17371910	Гринберг	И	Grinberg	I	Знамя	1960	6	178	194	17
Люди. Рассказы: Слава. — Босоножки. — Мальчишка. — Ввагоне. — Чабан. — Сестра. — Каша. — Корреспондент. — Марфа. Пер. с польского: Э.Василевская	254		Василевская	Ванда	Vasilevskaia	Vanda	Знамя	1960	7	3	41	39
Лирика. [Стихи]: Космическая пыль. — Трактор напьедестале. — Поезд. — Лазурит. — «На ночь горы сдвигаются ближе...»	28005320	28005320	Татьяничева	Людмила	Tat'ianicheva	Liudmila	Знамя	1960	7	42	43	2
Иначе жить не стоит. Роман	57090026	57090026	Кетлинская	Вера	Ketlinskaia	Vera	Знамя	1960	7	44	146	103
Раздумье. Стихи: Тишина в Подмосковье. — Подмосковные ели.— «Опасаться не нужно...» — Ветер весны	685		Стюарт	Елизавета	Stiuart	Elizaveta	Знамя	1960	7	147	148	2
Мои товарищи. [Заметки участницы Всeсоюз. совещанияпередовиков соревнования за звание бригад и ударников коммунистического труда]	305073421	305073421	Гаганова	Валентина	Gaganova	Valentina	Знамя	1960	7	149	154	6
Календарь героизма. [О мужестве и самоотверженностисоветских людей]	79559380	79559380	Рябчиков	Евгений	Riabchikov	Evgenii	Знамя	1960	7	155	186	32
Секреты «простого стиля». Заметки о мастерстве Твардовского	123293	123293	Турков	А	Turkov	A	Знамя	1960	7	186	200	15
Поэзия Расула Гамзатова и горская новь	55068094	55068094	Огнев	Владимир	Ognev	Vladimir	Знамя	1960	7	209	217	9
Самобытный характер. [Об образе Павлины Хуторной в пьесе А.Софронова «Стряпуха»]	315		Громов	Н	Gromov	N	Знамя	1960	7	222	224	3
Иначе жить не стоит. Роман	57090026	57090026	Кетлинская	Вера	Ketlinskaia	Vera	Знамя	1960	8	3	91	89
Летний Север. Стихи: В ледовой разведке. —Цветы. — «Я ведь дерзкая для показа...» — На речном вокзале.— «Последний снег...»	162505403	162505403	Лиснянская	Инна	Lisnianskaia	Inna	Знамя	1960	8	92	95	4
Здравствуйте, люди! Короткие рассказы	30981000	30981000	Соколова	Наталия	Sokolova	Nataliia	Знамя	1960	8	96	121	26
Лучший стих. [Стихи]. Пер. с осет: А. Николаев	4.05E+20	4.05E+20	Гагиев	Георгий	Gagiev	Georgii	Знамя	1960	8	122	123	2
Отец. [Стихи]. Пер. с осет: Т. Куренев	537		Муртазов	Борис	Murtazov	Boris	Знамя	1960	8	124	124	
Из устных рассказов моих друзей	93914016	93914016	Гулиа	Георгий	Gulia	Georgii	Знамя	1960	8	125	133	9
Воспитание радостью. [О людях Куйбышевского подшипникового завода. Очерк]	84947487	84947487	Рощин	М	Roshchin	M	Знамя	1960	8	134	157	24
Двое на большом поле. [О механизаторе Н. М. Мануковском и его методе комплексной механизациивозделывания кукурузы. Ново-Усман. район Воронежской обл. Очерк]	539		Мусатов	Алексей	Musatov	Aleksei	Знамя	1960	8	158	175	18
Во имя жизни. [Из записок воен. врача]. Кн. 2	305094207	305094207	Гиллер	В	Giller	V	Знамя	1960	8	176	193	18
О бумажном красноречии и поисках новой формы.[Лит.-критич. заметки]	106981943	106981943	Бровман	Г	Brovman	G	Знамя	1960	8	194	204	11
Девять поэм Василия Федорова	685		Стюарт	Е	Stiuart	E	Знамя	1960	8	205	214	10
Иначе жить не стоит. Роман	57090026	57090026	Кетлинская	Вера	Ketlinskaia	Vera	Знамя	1960	9	3	84	82
Из лирических тетрадей. Стихи: «Мы накануне полетов к звездам...» —Возвращение Шопена. — Старый мост. — «Во всем, конечно, виноват один топор...» —Скажите, мамаша, неужто ни разу...» — «Средь чистого поля сваты плутали...» Пер. сбелорус: Я. Хелемский	18028594	18028594	Танк	Максим	Tank	Maksim	Знамя	1960	9	85	88	4
Из забайкальской тетради. Рассказы: Синие цветы аге. — Рерих. —Нина, Вэвэ и я сам. — До свиданья	109392503	109392503	Семенов	Юлиан	Semenov	Iulian	Знамя	1960	9	89	102	14
Девятый форт. Стихи	32273284	32273284	Тушнова	Вероника	Tushnova	Veronika	Знамя	1960	9	103	104	2
Рассказы: Счастливого вам пути! — Грубый человек	495		Маркуша	Анатолий	Markusha	Anatolii	Знамя	1960	9	105	114	10
Латуня. Рассказ	2.97E+20	2.97E+20	Аргунова	Нора	Argunova	Nora	Знамя	1960	9	115	118	4
Зеленая ветка. Мещерские истории	84400852	84400852	Полторацкий	В	Poltoratskii	V	Знамя	1960	9	119	160	42
Во имя жизни. [Из записок воен. врача]. Кн. 2	305094207	305094207	Гиллер	В	Giller	V	Знамя	1960	9	161	196	36
Знаменательный день. [Встреча руководителей партии и правительства с представителямиинтеллигенции 17 июля 1960 г. и задачи в области литературы. Ред. статья]	99999						Знамя	1960	9	197	200	4
Критические заметки	32384151	32384151	Книпович	Е	Knipovich	E	Знамя	1960	9	201	210	10
Преодоление пределов. [Творчество В. М. Инбер]	17371910	17371910	Гринберг	И	Grinberg	I	Знамя	1960	9	211	218	8
Неугасимая заря. Стихи. [Авториз. пер. с укр: Л. Вышеславский]	7622003	7622003	Рыльский	Максим	Ryl'skii	Maksim	Знамя	1960	10	3	3	
Я славлю! Стихи. [Пер. с укр: Л. Вышеславский]	77234753	77234753	Сосюра	Владимир	Sosiura	Vladimir	Знамя	1960	10	4	4	
Предупреждают мертвые живых... Стихи. [Пер. с укр: С. Куняев]	94468759	94468759	Забашта	Любовь	Zabashta	Liubov'	Знамя	1960	10	5	5	
Руки каменотеса. Стихи. [Пер. с укр: С. Поликарпов]	406		Клименко	М	Klimenko	M	Знамя	1960	10	6	6	
Иначе жить не стоит. Роман	57090026	57090026	Кетлинская	Вера	Ketlinskaia	Vera	Знамя	1960	10	7	65	59
Саломее Нерис. Памяти литов. поэтессы. Стихи	32273284	32273284	Тушнова	Вероника	Tushnova	Veronika	Знамя	1960	10	66	66	
Жизнеописание Остапа Чуба... [Повесть]	264		Вирта	Николай	Virta	Nikolai	Знамя	1960	10	67	82	16
Рассказы: Он живой и светится... — Надо иметь чувство юмора.	133274686	133274686	Драгунский	Виктор	Dragunskii	Viktor	Знамя	1960	10	83	86	4
Избранник народа. Рассказ. Пер. с англ: В. Ефанова	39376770	39376770	Фолкнер	Уильям	Folkner	Uil'iam	Знамя	1960	10	87	101	
Из лутугинских записок. [О шахтерах шахты им. Лутугина. Донбасс. Очерк]	371		Звереву	Илья	Zverevu	Il'ia	Знамя	1960	10	102	126	25
Бдительность!	585		Пинчуков	Е	Pinchukov	E	Знамя	1960	10	127	146	20
Мы знали его таким. [К публикации в журн. «Знамя» глав из автобиогр. записок С. М. Эйзенштейна]	53161510	53161510	Юткевич	Сергей	Iutkevich	Sergei	Знамя	1960	10	139	146	8
Страницы жизни. [Главы из автобиогр. записок]	56609269	56609269	Эйзенштейн	С М	Eizenshtein	S M	Знамя	1960	10	147	176	30
Исторические судьбы реализма. [Статья I]. Реальность и реализм	293493366	293493366	Сучков	Б	Suchkov	B	Знамя	1960	10	177	201	25
Партийность и гуманизм. (Заметки о поэзии П. Тычины)	50550857	50550857	Молдавский	Дм	Moldavskii	Dm	Знамя	1960	10	202	208	7
Вариант Пинегина. Повесть	77205699	77205699	Снегов	Сергей	Snegov	Sergei	Знамя	1960	12	3	40	38
Новая готика. Стихи: Курфюрстендамм. — Старуха с Променаденплац.— Бранденбургские ворота. — Дорога на Дахау. — Новая готика. — Нюрнберг. —«Ночь...» — «Слеты, сборища, съезды спевки...» — «Пусть о Германии немецкие поэты...»	223		Белинский	Яков	Belinskii	Iakov	Знамя	1960	12	41	47	7
Метод индукции. Рассказ	790		Юфит	Матильда	Iufit	Matil'da	Знамя	1960	12	48	78	31
Баку. — Каспий. [Стихи]	591		Поликарпов	Сергей	Polikarpov	Sergei	Знамя	1960	12	79	80	2
Лето в Крекшине. [Из воспоминаний о Л. Н. Толстом]	515		Могилевская	Софья	Mogilevskaia	Sof'ia	Знамя	1960	12	81	84	4
Сестра Тома. — Вдали от дома. Рассказы. [Пер. с англ: А. Горский; Н.Высоцкая]	553		Ноутон	Билл	Nouton	Bill	Знамя	1960	12	85	95	11
Теплый дом. [Заметки о воспитании детей в интернатах]	7.76E+20	7.76E+20	Максимова	Э	Maksimova	E	Знамя	1960	12	96	112	17
Неотправленные письма. [Открытые письма советского писателя кзарубежным друзьям]	206021736	206021736	Захарченко	Вас	Zakharchenko	Vas	Знамя	1960	12	113	130	18
30 дней на берегах Тибра. [О XVII Олимпийских играх].(Олимпийские впечатления)	84338416	84338416	Кулешов	Александр	Kuleshov	Aleksandr	Знамя	1960	12	131	145	15
Страницы жизни. [Главы из автобиогр. записок]	56609269	56609269	Эйзенштейн	С	Eizenshtein	S	Знамя	1960	12	146	190	45
О некоторых традициях Льва Толстого	513		Михайлов	О	Mikhailov	O	Знамя	1960	12	191	202	12
Внешняя и внутренняя тема в современной лирике	14920998	14920998	Кожинов	В	Kozhinov	V	Знамя	1960	12	202	212	11
Коммунизм — это мир. [К итогам Совещания представителей коммунистич. и рабочихпартий в Москве. Ноябрь 1960 г. Передовая]	9999						Знамя	1961	1	3	6	4
Чистые пруды. Из новой книги рассказов	107026053	107026053	Нагибин	Юрий	Nagibin	Iurii	Знамя	1961	1	7	38	32
Вот паспорт мой... Стихи: ?Вот паспорт мой...?? ?Мы немало вжизни побродили...? ? ?Снега сыпучи, горячи ? в ночи...?	428315	428315	Демин	Мих	Demin	Mikh	Знамя	1961	1	39	41	3
Лесные сторожа. Повесть	239533195	239533195	Сергуненков	Борис	Sergunenkov	Boris	Знамя	1961	1	42	82	41
Из Сибирской тетради. Стихи: «Почему на полустанках маленьких...»— Художник	5051		Луговой	Владимир	Lugovoi	Vladimir	Знамя	1961	1	83	84	2
Ударение на первом слоге. Маленькая повесть	84025502	84025502	Горышин	Глеб	Goryshin	Gleb	Знамя	1961	1	85	111	27
На малой скорости. Рассказ	557		Озорнов	Л	Ozornov	L	Знамя	1961	1	112	130	19
Брак. [Рассказ америк. писателя]. Пер. с англ: Т. Литвинова	9011		Ч	и вер Джон			Знамя	1961	1	131	138	8
Год второй... [Об успехах в развитии нар. хозяйства СССР в 1960 г.Публицистич. заметки]	79559380	79559380	Рябчиков	Е	Riabchikov	E	Знамя	1961	1	139	155	17
Хозяева. [О деятельности обществ. организаций новаторов. Очерк]	78826402	78826402	Борин	А	Borin	A	Знамя	1961	1	156	174	19
Малые корабли в больших плаваниях. [Заметки участника экспедиции попереводу судов с волж. верфей в реки Сибири через полярные моря]	6032		Наянов	Ф	Naianov	F	Знамя	1961	1	175	187	13
Серьезная жизнь. [Заметки о творчестве молодых писателей]	77715689	77715689	Макаров	А	Makarov	A	Знамя	1961	1	188	211	24
Виза времени. [О публицистике И. Эренбурга. К 70-летию со дня рожденияписателя]	1337672	1337672	Рубашкин	А	Rubashkin	A	Знамя	1961	1	212	221	10
В наши дни. Стихи: Мой современник. — Память. — Возраст	110294642	110294642	Сурков	Алексей	Surkov	Aleksei	Знамя	1961	2	3	5	3
Завтрашние заботы. Повесть	37086891	37086891	Конецкий	Виктор	Konetskii	Viktor	Знамя	1961	2	6	69	64
В Крыму. Стихи	685		Стюарт	Е	Stiuart	E	Знамя	1961	2	70	70	1
На своей земле. Рассказы	201916611	201916611	Емельянова	Нина	Emel'ianova	Nina	Знамя	1961	2	71	101	31
Товарищи. Стихи	84328167	84328167	Фоняков	Илья	Foniakov	Il'ia	Знамя	1961	2	102	102	1
Через Кенигплац. Рассказы: Алеша. — Через Кенигплац. —«Полковник» Берест — Верность друга. — Это — мы	297164599	297164599	Субботин	Василий	Subbotin	Vasilii	Знамя	1961	2	103	112	10
Пейзаж. Стихи. Пер. с арм: П. Чуковский	13734192	13734192	Сарян	Гегам	Sarian	Gegam	Знамя	1961	2	113	113	1
О ты, моя Германия. [Из книги памфлетов]. Пер. с нем: Э. Грейнер	558		Опиц	Карллюдвиг	Opits	Karlliudvig	Знамя	1961	2	114	119	6
Рассказы о Е. Патоне. [Из воспоминаний о советском ученом,специалисте в области электросварки и мостостроения]	2013		Буряковский	Юрий	Buriakovskii	Iurii	Знамя	1961	2	120	128	9
Открытки из Вьетнама. [Путевые заметки]	68936005	68936005	Солоухин	Владимир	Soloukhin	Vladimir	Знамя	1961	2	129	164	36
Товарищ Поэзия. [Заметки поэта]	19797276	19797276	Луконин	Михаил	Lukonin	Mikhail	Знамя	1961	2	165	197	33
О военно-патриотической теме в художественной литературе	2099		Голиков	Ф	Golikov	F	Знамя	1961	2	198	205	8
Мир в свете подвига. [К 50-летию со дня рождения Г. Николаевой]	1396549	1396549	Чалмаев	В			Знамя	1961	2	205	213	9
...А воспитание — великое дело! [О произведениях С. Баруздина длядетей]	79484309	79484309	Алексин	Анатолий	Aleksin	Anatolii	Знамя	1961	2	221	224	4
Рассказ кобзаря. Поэма. Авториз. пер. с укр: Л. Смирнов	72240749	72240749	Малышко	Андрей	Malyshko	Andrei	Знамя	1961	3	3	7	5
Гремящий порог. Роман	59		Таурин	Ф	Taurin	F	Знамя	1961	3	8	71	64
Из новой книги стихов: Ленинский проспект. — Проводы. — Холод.— Зарубежный пейзаж. — «Еще боятся высоты...» — Мадьярские слова. — Гондвана. —«Воспрянув от сна...» — Мотылек. — Весна. — Бессонница. — Старина. — «День еще некончился один...» — Гроза	109617752	109617752	Мартынов	Леонид	Martynov	Leonid	Знамя	1961	3	72	81	10
На Волге. Рассказы: Тростниковые заводи. — Непутевый. — Белаялодка. — Дорога на Мшары	17632787	17632787	Семенов	Георгий	Semenov	Georgii	Знамя	1961	3	82	116	35
Весна. [Рассказ ирланд. писателя]. Пер. с англ: Д. Соловьев	6048		О'Кейси	Шон	O'Keisi	Shon	Знамя	1961	3	117	120	4
Теперь дело за нами. [Герой Соц. Труда, свинарка совхоза«Победитель» о своем опыте. Омская обл.]	6084		Перешивко	Татьяна	Pereshivko	Tat'iana	Знамя	1961	3	121	125	5
Северный дневник. [Из рассказов о людях семилетки]. Илл: М. Скобелеви А. Елисеева	110470766	110470766	Казаков	Юрий	Kazakov	Iurii	Знамя	1961	3	126	153	28
Открытки из Вьетнама. [Путевые заметки]	68936005	68936005	Солоухин	Владимир	Soloukhin	Vladimir	Знамя	1961	3	154	176	23
Мораль и люди. [Семейно-бытовая тематика в современной советскойлитературе]	49339926	49339926	Аннинский	Л	Anninskii	L	Знамя	1961	3	181	194	14
Восторжествует наш народ! Стихи. Пер: М. Вершинин,	5056		Лумумба	Патрис	Lumumba	Patris	Знамя	1961	4	3	4	2
Гремящий порог. Роман	59		Таурин	Ф	Taurin	F	Знамя	1961	4	5	57	53
Из новой книги. Стихи: Источник света. — Лирика разных лет. —Дождь в Грузии. — Воспоминание о Болгарии	29673436	29673436	Алигер	Маргарита	Aliger	Margarita	Знамя	1961	4	58	64	7
Человек-эхо. Рассказ,	263945341	263945341	Воронов	Николай	Voronov	Nikolai	Знамя	1961	4	65	74	10
Стихи. Из книги «Человек»: Море. — Нет, не ты победишь,разрушитель! — Развяжите глаза. — Трубы. [Пер. с литов: Б. Слуцкий; Л. Мартынов; В.Корнилов]	37782821	37782821	Межелайтис	Эдуардас	Mezhelaitis	Eduardas	Знамя	1961	4	75	78	4
Адыгейские новеллы: Айса. ? Зеленый сундук. ? Никудышный кладовщик.? Месть Юсуфа Майкопарова. ? Вкусные груши	3017		Данилов	В	Danilov	V	Знамя	1961	4	79	92	14
Рассказы: Кони и люди. — Хозяин	109392503	109392503	Семенов	Юлиан	Semenov	Iulian	Знамя	1961	4	93	98	6
Детские этюды. [Рассказы]: Официальный документ. — Разговор осмерти. — Жалобная книга или печенка. Пер. с чешского: Г. Гуляницкая	59118946	59118946	Ашкенази	Людвик	Ashkenazi	Liudvik	Знамя	1961	4	99	102	4
Бери и помни! [Рассказ америк. писателя]. Пер. с англ: В. Ефанова	5096		Марш	Уиллард	Marsh	Uillard	Знамя	1961	4	103	114	12
Трудовая весна. [О развертывании соц. соревнования в честь предстоящего XXII съездаКПСС. Ред. статья]	9999						Знамя	1961	4	115	118	4
Там, на Востоке... [Очерки о людях Сибири]	166394942	166394942	Урин	Виктор	Urin	Viktor	Знамя	1961	4	119	139	21
Северный дневник. [Из рассказов о людях семилетки]. Илл: М. Скобелеви А. Елисеев	110470766	110470766	Казаков	Юрий	Kazakov	Iurii	Знамя	1961	4	140	164	25
Асуанский гидроузел. [Об участии советских специалистов в строительствевысотной плотины в ОАР]. (Записки советского инженера)	4074		Комзин	И	Komzin	I	Знамя	1961	4	165	176	12
Леонид Леонов о писательском труде. [Из бесед с писателем. Записала Е.Старикова]	94371951	94371951	Леонов	Леонид	Leonov	Leonid	Знамя	1961	4	177	189	13
Взять курс на маяки! [Образ положительного героя современности в советской литературе.Ред. статья]	9999						Знамя	1961	4	190	194	5
Люди труда и мысли. (Заметки о некоторых явлениях молодой прозы)	513		Михайлов	О	Mikhailov	O	Знамя	1961	4	195	208	14
12 IV — 1961 г. [Стихи]	49384475	49384475	Маршак	С	Marshak	S	Знамя	1961	5	6	6	1
Вознесся в космос человек. [Стихи]: «Все: как он набирался сил...» —Гроздья созвездий. — Корабль. — Настоящее	109617752	109617752	Мартынов	Леонид	Martynov	Leonid	Знамя	1961	5	7	10	4
Советский человек в космосе! [К успешному осуществлению в СССР первого в миреполета человека в космич. пространство. Статьи]: В. Кетлинская. Счастливый день. — К.Яшен. Путеводная звезда. — С. С. Смирнов. День великого подвига. — А. Борщаговский.Подвиг века. — А. Казанцев. В восемьдесят минут вокруг света	9999						Знамя	1961	5	11	34	24
Куба — да! [Стихи]	5010		Куренев	Григорий	Kurenev	Grigorii	Знамя	1961	5	35	35	1
Дебрецен — Будапешт. Маленькие рассказы: Мы говорим по-венгерски.— Слева труба, справа труба... — Чудо под землей. — Свадьба. — Сталактитовые пещеры.— Эржбет. — Я еду в цирк. — Прощание с Будапештом	107026053	107026053	Нагибин	Юрий	Nagibin	Iurii	Знамя	1961	5	36	55	20
Новые стихи: Салют наций. — Молодой человек. — Я не сплю. — «Вновьвсе молодо, смело...»	35804217	35804217	Львов	Михаил	L'vov	Mikhail	Знамя	1961	5	56	59	4
Гремящий порог. Роман	59		Таурин	Ф	Taurin	F	Знамя	1961	5	60	113	54
Наши дни. [Стихи]	305976529	305976529	Дробышев	Владимир	Drobyshev	Vladimir	Знамя	1961	5	114	114	1
Степка, мой сын. Рассказ	29939066	29939066	Евдокимов	Николай	Evdokimov	Nikolai	Знамя	1961	5	115	118	4
Новое радио. [Рассказ.] Пер. с англ: Т. Литвинова	2468135	2468135	Чивер	Джон			Знамя	1961	5	119	126	8
